center_region_std,center_region_variance,channel,detector_flag,detector_std_ratio,distance_from_canonical_initial_relative_l2,distance_from_persistence_relative_l2,distance_from_raw_initial_relative_l2,dynamic_range_max_min,dynamic_span_q99_q01,gradient_energy,ground_truth_available,maximum,mean,minimum,model,near_zero_occupancy,near_zero_threshold,negative_fraction,oracle_available,outer_shell_region_std,outer_shell_region_variance,phi_gradient_energy,phi_variation,polar_region_std,polar_region_variance,positive_fraction,q01,q10,q50,q90,q99,r_gradient_energy,r_variation,rms,selected_step_change_relative_l2,selected_step_interval,sign_balance,std,step,theta_gradient_energy,theta_variation,total_variation,truth_envelope_metric_violation_count,truth_envelope_metric_violation_fraction,truth_raw_value_range_violation_fraction,variance,zero_fraction
0.005357683193871941,2.8704769205897848e-05,Bcc3,True,0.012590570274327594,0.0,0.0,0.9937135377074606,0.010797557421028614,0.010797557421028614,3.0092367690261324e-06,False,0.005398778710514307,2.1979739688640868e-05,-0.005398778710514307,persistence,0.0,3.6155941227590486e-09,0.496826171875,False,0.00023378896996054932,5.465728247521463e-08,5.210704477177307e-13,3.751271519913753e-08,0.003985745117610006,1.5886164142551995e-05,0.503173828125,-0.005398778710514307,-0.005398778710514307,3.53455533286251e-07,0.005398778710514307,0.005398778710514307,1.2644637030275983e-06,0.0002532194324859865,0.0036155941227590488,0.0,25,0.00634765625,0.003615527313072465,50,1.7447725449280863e-06,0.00035518552160225823,0.00020281415560114793,5,1.0,0.0,1.3072037751572997e-05,0.0
0.005659287947582209,3.202754007364925e-05,rho,False,1.0,0.0,0.0,5.781674479953104e-07,5.712064954801917,1.4963412804190739,0.054030108952789264,False,5.712069511413574,0.11826238436652328,4.556611656880705e-06,persistence,0.0,3.843339455057883e-07,0.0,False,0.23490500711293005,0.05518036236672572,1.4455092641734546e-12,1.8824053270283424e-07,0.0021878875069442022,4.786851743042516e-06,1.0,7.577460564789362e-06,4.3342046410543844e-05,0.0034394438844174147,0.37349164485931396,1.4963488578796387,0.02763672680306557,0.02673677149772888,0.38433394550578837,0.0,25,1.0,0.3656864642176287,50,0.026393382148278185,0.03504724155120802,0.02059473376315653,5,1.0,0.0,0.133726590111991,0.0
0.011395347084763658,0.0001298539351822316,press,False,1.0,0.0,0.0,4.988022265123248e-07,0.2152530775266399,0.04100708624637721,3.9067824331058285e-05,False,0.21525320410728455,0.002015508884142249,1.2658064463266783e-07,persistence,0.0,8.874099874301245e-09,0.0,False,0.00027676365568244667,7.659812110671188e-08,5.170476998956845e-12,2.447105236798991e-07,0.001381407064476793,1.90828547778639e-06,1.0,2.2532128696184373e-07,1.4705694525218859e-06,0.00017274420679314062,0.0038350842194631697,0.04100731156766417,1.366685716957224e-05,0.0007027049691007802,0.008874099874301246,0.0,25,1.0,0.008642185633103299,50,2.540096199100905e-05,0.0006181614216397039,0.00044037036708805466,5,1.0,0.0,7.468737251701708e-05,0.0
0.2892693412977469,0.08367675181483236,vel1,False,1.0,0.0,0.0,5.706300948819731e-08,1.3964631855487823,1.1315292751789094,0.0034213391918713094,False,1.367659330368042,0.26258577506760616,-0.028803855180740356,persistence,0.0,3.699709975689817e-07,0.071044921875,False,0.19217621295564388,0.03693169682597299,1.66992687554843e-07,5.315485277461694e-05,0.1581764241852529,0.02501978116803306,0.928955078125,-0.014312833547592163,0.0051888227462768555,0.2078053057193756,0.612109762430191,1.1172164416313173,0.001260861119549701,0.020643517160524857,0.3699709975689817,0.0,25,0.85791015625,0.2606285666889415,50,0.002160311079634054,0.02998511130580381,0.016893927773034428,1,0.2,0.0,0.06792724977433202,0.0
0.025024069425517166,0.0006262040506131031,vel2,False,0.4539392614255664,0.0,0.0,0.6736551580817532,0.07146307080984116,0.07146307080984116,2.973092579984544e-05,False,0.03573155775666237,-1.1724871669491075e-05,-0.03573151305317879,persistence,0.0,1.2668522682788925e-08,0.49729156494140625,False,0.00020291885556297822,4.117606194298882e-08,1.7027823036214529e-10,2.6089272823187844e-06,0.008252821725724514,6.810906643659056e-05,0.5027084350585938,-0.03573151305317879,-0.008156247530132532,1.193143020827847e-06,0.008153945393860341,0.03573155775666237,1.6659100900362695e-05,0.0014882656814639516,0.012668522682788926,0.0,25,0.0054168701171875,0.012668517257032169,50,1.307165462125238e-05,0.0009411853117302138,0.0008106866401588281,2,0.4,0.0,0.00016049132949172185,0.0
0.04472822721301628,0.00200061430961921,vel3,False,0.15903054972672143,0.0,0.0,0.8592097297377462,0.1520780213177204,0.1162259324081242,0.00014139543064787378,False,0.10361377149820328,0.03601176186925681,-0.048464249819517136,persistence,0.0,5.6401765101463277e-08,0.042724609375,False,0.009523266755223676,9.06926096911485e-05,5.0279689120932826e-09,7.193347764696805e-06,0.045126702467103715,0.0020364192755545044,0.957275390625,-0.012612160909920931,0.0007514671888202429,0.009399841539561749,0.10361377149820328,0.10361377149820328,8.052919407892984e-05,0.002552179635257643,0.05640176510146328,0.0,25,0.91455078125,0.043408664038790484,50,6.0861208600031846e-05,0.0030105766594578386,0.001856649880826726,5,1.0,0.0,0.0018843121136325825,0.0
0.42264257777754544,0.17862674855044855,Bcc1,False,0.9999999345982298,0.0,0.0,3.897111055995196e-07,2.2945220470428467,1.3487608885765074,0.0017462129329681932,False,1.1472556591033936,-0.0011060015206718898,-1.1472663879394531,persistence,0.0,2.2784257495811992e-07,0.501220703125,False,0.0061262487734981075,3.753092403478707e-05,6.893074187793352e-10,4.5267764423278275e-06,0.2942083855844418,0.08655857414820359,0.498779296875,-0.6757556694746018,-0.27181246876716614,-4.1809858885244466e-05,0.2710171192884445,0.6730052191019058,0.0004923602446514271,0.011957684669385214,0.22784257495811994,0.0,25,-0.00244140625,0.227839890546372,75,0.0012538519990093473,0.008830841983592474,0.006931017809806672,5,1.0,0.0,0.051911015724182774,0.0
0.03684873381698873,0.0013578291839152887,Bcc2,False,0.7132048242226319,0.0,0.0,0.346779872809021,0.13481904193758965,0.11968115497380497,3.73393155914227e-05,False,0.05830228701233864,-0.013688311778032085,-0.07651675492525101,persistence,0.003643035888671875,3.029823283470224e-08,0.8396186828613281,False,3.166194698939549e-05,1.00247888715929e-09,1.0422063652148253e-11,5.649744523818538e-07,0.013166328174698264,0.00017335219760385333,0.16037750244140625,-0.07651675492525101,-0.07651675492525101,-0.000338340294547379,3.039479452127125e-06,0.04316440004855395,3.228143527276522e-05,0.0019889105977336946,0.030298232834702236,0.0,25,-0.6792411804199219,0.02702985448671925,75,5.057869896593835e-06,0.0009481458128253887,0.000979207128337155,4,0.8,0.0,0.0007306130335732169,3.814697265625e-06
0.005357683193871941,2.8704769205897848e-05,Bcc3,True,0.012590570274327594,0.0,0.0,0.9937135377074606,0.010797557421028614,0.010797557421028614,3.0092367690261324e-06,False,0.005398778710514307,2.1979739688640868e-05,-0.005398778710514307,persistence,0.0,3.6155941227590486e-09,0.496826171875,False,0.00023378896996054932,5.465728247521463e-08,5.210704477177307e-13,3.751271519913753e-08,0.003985745117610006,1.5886164142551995e-05,0.503173828125,-0.005398778710514307,-0.005398778710514307,3.53455533286251e-07,0.005398778710514307,0.005398778710514307,1.2644637030275983e-06,0.0002532194324859865,0.0036155941227590488,0.0,25,0.00634765625,0.003615527313072465,75,1.7447725449280863e-06,0.00035518552160225823,0.00020281415560114793,5,1.0,0.0,1.3072037751572997e-05,0.0
0.005659287947582209,3.202754007364925e-05,rho,False,1.0,0.0,0.0,5.781674479953104e-07,5.712064954801917,1.4963412804190739,0.054030108952789264,False,5.712069511413574,0.11826238436652328,4.556611656880705e-06,persistence,0.0,3.843339455057883e-07,0.0,False,0.23490500711293005,0.05518036236672572,1.4455092641734546e-12,1.8824053270283424e-07,0.0021878875069442022,4.786851743042516e-06,1.0,7.577460564789362e-06,4.3342046410543844e-05,0.0034394438844174147,0.37349164485931396,1.4963488578796387,0.02763672680306557,0.02673677149772888,0.38433394550578837,0.0,25,1.0,0.3656864642176287,75,0.026393382148278185,0.03504724155120802,0.02059473376315653,5,1.0,0.0,0.133726590111991,0.0
0.011395347084763658,0.0001298539351822316,press,False,1.0,0.0,0.0,4.988022265123248e-07,0.2152530775266399,0.04100708624637721,3.9067824331058285e-05,False,0.21525320410728455,0.002015508884142249,1.2658064463266783e-07,persistence,0.0,8.874099874301245e-09,0.0,False,0.00027676365568244667,7.659812110671188e-08,5.170476998956845e-12,2.447105236798991e-07,0.001381407064476793,1.90828547778639e-06,1.0,2.2532128696184373e-07,1.4705694525218859e-06,0.00017274420679314062,0.0038350842194631697,0.04100731156766417,1.366685716957224e-05,0.0007027049691007802,0.008874099874301246,0.0,25,1.0,0.008642185633103299,75,2.540096199100905e-05,0.0006181614216397039,0.00044037036708805466,5,1.0,0.0,7.468737251701708e-05,0.0
0.2892693412977469,0.08367675181483236,vel1,False,1.0,0.0,0.0,5.706300948819731e-08,1.3964631855487823,1.1315292751789094,0.0034213391918713094,False,1.367659330368042,0.26258577506760616,-0.028803855180740356,persistence,0.0,3.699709975689817e-07,0.071044921875,False,0.19217621295564388,0.03693169682597299,1.66992687554843e-07,5.315485277461694e-05,0.1581764241852529,0.02501978116803306,0.928955078125,-0.014312833547592163,0.0051888227462768555,0.2078053057193756,0.612109762430191,1.1172164416313173,0.001260861119549701,0.020643517160524857,0.3699709975689817,0.0,25,0.85791015625,0.2606285666889415,75,0.002160311079634054,0.02998511130580381,0.016893927773034428,1,0.2,0.0,0.06792724977433202,0.0
0.025024069425517166,0.0006262040506131031,vel2,False,0.4539392614255664,0.0,0.0,0.6736551580817532,0.07146307080984116,0.07146307080984116,2.973092579984544e-05,False,0.03573155775666237,-1.1724871669491075e-05,-0.03573151305317879,persistence,0.0,1.2668522682788925e-08,0.49729156494140625,False,0.00020291885556297822,4.117606194298882e-08,1.7027823036214529e-10,2.6089272823187844e-06,0.008252821725724514,6.810906643659056e-05,0.5027084350585938,-0.03573151305317879,-0.008156247530132532,1.193143020827847e-06,0.008153945393860341,0.03573155775666237,1.6659100900362695e-05,0.0014882656814639516,0.012668522682788926,0.0,25,0.0054168701171875,0.012668517257032169,75,1.307165462125238e-05,0.0009411853117302138,0.0008106866401588281,2,0.4,0.0,0.00016049132949172185,0.0
0.04472822721301628,0.00200061430961921,vel3,False,0.15903054972672143,0.0,0.0,0.8592097297377462,0.1520780213177204,0.1162259324081242,0.00014139543064787378,False,0.10361377149820328,0.03601176186925681,-0.048464249819517136,persistence,0.0,5.6401765101463277e-08,0.042724609375,False,0.009523266755223676,9.06926096911485e-05,5.0279689120932826e-09,7.193347764696805e-06,0.045126702467103715,0.0020364192755545044,0.957275390625,-0.012612160909920931,0.0007514671888202429,0.009399841539561749,0.10361377149820328,0.10361377149820328,8.052919407892984e-05,0.002552179635257643,0.05640176510146328,0.0,25,0.91455078125,0.043408664038790484,75,6.0861208600031846e-05,0.0030105766594578386,0.001856649880826726,5,1.0,0.0,0.0018843121136325825,0.0
0.42264257777754544,0.17862674855044855,Bcc1,False,0.9999999345982298,0.0,0.0,3.897111055995196e-07,2.2945220470428467,1.3487608885765074,0.0017462129329681932,False,1.1472556591033936,-0.0011060015206718898,-1.1472663879394531,persistence,0.0,2.2784257495811992e-07,0.501220703125,False,0.0061262487734981075,3.753092403478707e-05,6.893074187793352e-10,4.5267764423278275e-06,0.2942083855844418,0.08655857414820359,0.498779296875,-0.6757556694746018,-0.27181246876716614,-4.1809858885244466e-05,0.2710171192884445,0.6730052191019058,0.0004923602446514271,0.011957684669385214,0.22784257495811994,0.0,25,-0.00244140625,0.227839890546372,100,0.0012538519990093473,0.008830841983592474,0.006931017809806672,5,1.0,0.0,0.051911015724182774,0.0
0.03684873381698873,0.0013578291839152887,Bcc2,False,0.7132048242226319,0.0,0.0,0.346779872809021,0.13481904193758965,0.11968115497380497,3.73393155914227e-05,False,0.05830228701233864,-0.013688311778032085,-0.07651675492525101,persistence,0.003643035888671875,3.029823283470224e-08,0.8396186828613281,False,3.166194698939549e-05,1.00247888715929e-09,1.0422063652148253e-11,5.649744523818538e-07,0.013166328174698264,0.00017335219760385333,0.16037750244140625,-0.07651675492525101,-0.07651675492525101,-0.000338340294547379,3.039479452127125e-06,0.04316440004855395,3.228143527276522e-05,0.0019889105977336946,0.030298232834702236,0.0,25,-0.6792411804199219,0.02702985448671925,100,5.057869896593835e-06,0.0009481458128253887,0.000979207128337155,4,0.8,0.0,0.0007306130335732169,3.814697265625e-06
0.005357683193871941,2.8704769205897848e-05,Bcc3,True,0.012590570274327594,0.0,0.0,0.9937135377074606,0.010797557421028614,0.010797557421028614,3.0092367690261324e-06,False,0.005398778710514307,2.1979739688640868e-05,-0.005398778710514307,persistence,0.0,3.6155941227590486e-09,0.496826171875,False,0.00023378896996054932,5.465728247521463e-08,5.210704477177307e-13,3.751271519913753e-08,0.003985745117610006,1.5886164142551995e-05,0.503173828125,-0.005398778710514307,-0.005398778710514307,3.53455533286251e-07,0.005398778710514307,0.005398778710514307,1.2644637030275983e-06,0.0002532194324859865,0.0036155941227590488,0.0,25,0.00634765625,0.003615527313072465,100,1.7447725449280863e-06,0.00035518552160225823,0.00020281415560114793,5,1.0,0.0,1.3072037751572997e-05,0.0
0.005659287947582209,3.202754007364925e-05,rho,False,1.0,0.0,0.0,5.781674479953104e-07,5.712064954801917,1.4963412804190739,0.054030108952789264,False,5.712069511413574,0.11826238436652328,4.556611656880705e-06,persistence,0.0,3.843339455057883e-07,0.0,False,0.23490500711293005,0.05518036236672572,1.4455092641734546e-12,1.8824053270283424e-07,0.0021878875069442022,4.786851743042516e-06,1.0,7.577460564789362e-06,4.3342046410543844e-05,0.0034394438844174147,0.37349164485931396,1.4963488578796387,0.02763672680306557,0.02673677149772888,0.38433394550578837,0.0,25,1.0,0.3656864642176287,100,0.026393382148278185,0.03504724155120802,0.02059473376315653,5,1.0,0.0,0.133726590111991,0.0
0.011395347084763658,0.0001298539351822316,press,False,1.0,0.0,0.0,4.988022265123248e-07,0.2152530775266399,0.04100708624637721,3.9067824331058285e-05,False,0.21525320410728455,0.002015508884142249,1.2658064463266783e-07,persistence,0.0,8.874099874301245e-09,0.0,False,0.00027676365568244667,7.659812110671188e-08,5.170476998956845e-12,2.447105236798991e-07,0.001381407064476793,1.90828547778639e-06,1.0,2.2532128696184373e-07,1.4705694525218859e-06,0.00017274420679314062,0.0038350842194631697,0.04100731156766417,1.366685716957224e-05,0.0007027049691007802,0.008874099874301246,0.0,25,1.0,0.008642185633103299,100,2.540096199100905e-05,0.0006181614216397039,0.00044037036708805466,5,1.0,0.0,7.468737251701708e-05,0.0
0.2892693412977469,0.08367675181483236,vel1,False,1.0,0.0,0.0,5.706300948819731e-08,1.3964631855487823,1.1315292751789094,0.0034213391918713094,False,1.367659330368042,0.26258577506760616,-0.028803855180740356,persistence,0.0,3.699709975689817e-07,0.071044921875,False,0.19217621295564388,0.03693169682597299,1.66992687554843e-07,5.315485277461694e-05,0.1581764241852529,0.02501978116803306,0.928955078125,-0.014312833547592163,0.0051888227462768555,0.2078053057193756,0.612109762430191,1.1172164416313173,0.001260861119549701,0.020643517160524857,0.3699709975689817,0.0,25,0.85791015625,0.2606285666889415,100,0.002160311079634054,0.02998511130580381,0.016893927773034428,1,0.2,0.0,0.06792724977433202,0.0
0.025024069425517166,0.0006262040506131031,vel2,False,0.4539392614255664,0.0,0.0,0.6736551580817532,0.07146307080984116,0.07146307080984116,2.973092579984544e-05,False,0.03573155775666237,-1.1724871669491075e-05,-0.03573151305317879,persistence,0.0,1.2668522682788925e-08,0.49729156494140625,False,0.00020291885556297822,4.117606194298882e-08,1.7027823036214529e-10,2.6089272823187844e-06,0.008252821725724514,6.810906643659056e-05,0.5027084350585938,-0.03573151305317879,-0.008156247530132532,1.193143020827847e-06,0.008153945393860341,0.03573155775666237,1.6659100900362695e-05,0.0014882656814639516,0.012668522682788926,0.0,25,0.0054168701171875,0.012668517257032169,100,1.307165462125238e-05,0.0009411853117302138,0.0008106866401588281,2,0.4,0.0,0.00016049132949172185,0.0
0.04472822721301628,0.00200061430961921,vel3,False,0.15903054972672143,0.0,0.0,0.8592097297377462,0.1520780213177204,0.1162259324081242,0.00014139543064787378,False,0.10361377149820328,0.03601176186925681,-0.048464249819517136,persistence,0.0,5.6401765101463277e-08,0.042724609375,False,0.009523266755223676,9.06926096911485e-05,5.0279689120932826e-09,7.193347764696805e-06,0.045126702467103715,0.0020364192755545044,0.957275390625,-0.012612160909920931,0.0007514671888202429,0.009399841539561749,0.10361377149820328,0.10361377149820328,8.052919407892984e-05,0.002552179635257643,0.05640176510146328,0.0,25,0.91455078125,0.043408664038790484,100,6.0861208600031846e-05,0.0030105766594578386,0.001856649880826726,5,1.0,0.0,0.0018843121136325825,0.0
0.1094953865237108,0.011989239669976828,Bcc1,False,0.29187423553505776,0.9020557672649925,0.9020557672649925,0.9020557670121807,0.8075039684772491,0.45546903260052213,0.0007730105987165712,False,0.22460278868675232,-0.016320325497928105,-0.5829011797904968,fno_plain,1.1444091796875e-05,6.847395508304576e-08,0.5658531188964844,False,0.022239593083197506,0.0004945995005062064,2.9694718947024e-07,9.219170621833498e-05,0.08941030051579957,0.007994201838325589,0.4341468811035156,-0.33781570225954055,-0.06080888584256172,-0.0006371299095917493,0.013100865390151744,0.11765333034098158,0.00034130149329283504,0.008200066414830879,0.06847395508304577,0.32985873671278354,6,-0.13170623779296875,0.066500597744356,25,0.0004314121582342659,0.007844307974034456,0.005378855365027889,5,1.0,0.0,0.004422329500356646,0.0
0.02278726634301259,0.0005192595073873944,Bcc2,False,0.390677209816018,0.8924988564638482,0.8924988564638482,0.9243702359668055,0.0793810251634568,0.07684762435237644,0.00011945004178891315,False,0.0028642702382057905,-0.005011028604810378,-0.07651675492525101,fno_plain,0.0001220703125,1.5631311470964863e-08,0.8285484313964844,False,0.0002072387144821669,4.294788478022109e-08,9.409557155976744e-09,1.1395896924773294e-05,0.014713840813473045,0.0002164971114842251,0.17145156860351562,-0.07651675492525101,-0.008565093018114566,-0.00026419200003147125,3.530636058712846e-05,0.00033086942712543536,7.041221320973085e-05,0.0019130852339662471,0.015631311470964863,0.45545646483157676,6,-0.6570968627929688,0.014806332787834057,25,4.902841902202633e-05,0.001473041092818653,0.0011325074079032245,4,0.8,0.0,0.0002192274906240898,0.0
0.0036523504012516746,1.3339663453523269e-05,Bcc3,True,0.010318717853451174,0.8916103202043115,0.8916103202043115,0.9970421021024727,0.010797557421028614,0.010797557421028614,2.006481404315789e-06,False,0.005398778710514307,0.0006178956777963932,-0.005398778710514307,fno_plain,1.1444091796875e-05,3.026877188933883e-09,0.42430877685546875,False,0.0007652767145205705,5.856484497873987e-07,3.5387492635022155e-11,1.1821312873976618e-06,0.0028674401190857918,8.222212836542739e-06,0.5756874084472656,-0.005398778710514307,-0.0032750824932008976,6.496071728179231e-05,0.005398778710514307,0.005398778710514307,1.0002997634537192e-06,0.0004053647571611224,0.003026877188933883,0.29986050505133277,6,0.15137863159179688,0.0029631386144169537,25,1.0061462533694349e-06,0.00036839125591382245,0.0002583127147874475,4,0.8,0.0,8.780190448248823e-06,3.814697265625e-06
