channel,dynamic_span,ground_truth_available,model,oracle_available,profile,profile_length,retention_vs_canonical_initial_dynamic_span,retention_vs_canonical_initial_dynamic_span_undefined,retention_vs_canonical_initial_std,retention_vs_canonical_initial_std_undefined,retention_vs_canonical_initial_variance,retention_vs_canonical_initial_variance_undefined,std,step,variance
Bcc3,0.00021170301812079018,False,persistence,False,"[0.0001687118347035721,0.0001687118347035721,0.0001687118347035721,0.0,0.0,0.0001687118347035721,0.0001065932136725678,6.83412481095047e-05,7.353409093013852e-05,-1.814149868550885e-05,-3.9388199468248786e-05,-2.8397625214893196e-05,-4.478657388062857e-06,-4.011061896846968e-05,-3.4818788350321483e-05,-3.700788539617861e-05,7.35643077689474e-05,3.9515471911499844e-05,4.371503253253195e-05,2.5168888271309697e-06,-9.836090313797285e-06,-4.299118341721808e-05,-1.758914618221752e-05,-9.98407383612232e-06,8.749355373538492e-08,-1.0843541167204762e-05,-1.8225816944550388e-06,-3.982948904024397e-06,-2.044230493325472e-06,2.474828951015695e-05,1.978149396464346e-05,2.8123732123574996e-05,3.806317533960879e-05,3.2219131977040405e-05,4.245926189172522e-05,3.5072472504782404e-05,4.279801757564594e-05,4.0578180677319775e-05,3.958124508929295e-05,4.153327902400861e-05,4.362106919875153e-05,4.307376818279973e-05,3.9993516628422654e-05,1.548718569743812e-05,1.4311172594982935e-05,1.2669362046136001e-05,1.1029180082777756e-05,9.726001335974566e-06,8.511771642849553e-06,7.269391696207439e-06,6.224923082637224e-06,5.330270032410933e-06,4.561220928026022e-06,3.88717048421805e-06,3.2273154721984554e-06,2.4772496427447055e-06,2.0467753950037526e-06,1.8634698926156545e-06,1.6641639388748075e-06,1.3443352434722167e-06,8.973371252876759e-07,6.24673229143724e-07,3.8549480191329977e-07,2.402253800326548e-07]",64,1.0,False,1.0,False,1.0,False,4.7299087095717874e-05,50,2.237203640088305e-09
rho,0.5990183296377154,False,persistence,False,"[0.011160786956907032,0.009379639260828299,0.00811647915895719,0.0071849453918275685,0.006479844849309302,0.00586695097649681,0.005391968883714071,0.004960806867643441,0.0044882916904498416,0.003924154904325405,0.0033406403165372467,0.002726956228570998,0.002301471678578082,0.001935758648897945,0.0016652154421592513,0.001498078095096389,0.0014039282091573568,0.001611749692074227,0.04126584938605049,0.39779427467834694,0.6004222578468728,0.5588918673439025,0.35110468171230025,0.2661557645338064,0.22122566265274912,0.20147917983542385,0.187243500126705,0.17088839735304617,0.15153255356176487,0.1337336734880381,0.11909966999734323,0.10723308137551513,0.09763245031901846,0.088568106313474,0.08289701370621216,0.07807791744335368,0.07419140450021011,0.0712980916291972,0.0692483657459011,0.06778204419845224,0.0664439651773403,0.06606499110893704,0.06683522558404587,0.06753595365088039,0.07135930519347866,0.07555306803611028,0.08142955647342953,0.08906574914980858,0.0988168913169396,0.1110477922989399,0.12631750089117233,0.14614085081198125,0.17348356875303872,0.21066120229268126,0.25690788252471597,0.27862094258607684,0.25435584968823743,0.22575658402026266,0.20289914905512285,0.17953984024171987,0.15638071564962275,0.1342204980667604,0.11348526534357595,0.09466677654339772]",64,1.0,False,1.0,False,1.0,False,0.12355833587757754,50,0.015266662364836266
press,0.013955723219855193,False,persistence,False,"[0.01309821671895861,0.010171955595637883,0.008026570818287837,0.006368533440081592,0.005063399880100405,0.004032451970999773,0.003301451464096772,0.002707172705612493,0.0021889426351719976,0.0017118796975239547,0.0013097444107046385,0.0009513396213520764,0.0007368892179329123,0.0005711361888955935,0.00045487552970513434,0.00038704337435291336,0.0004284043219016098,0.0018578780831610686,0.008774352503554184,0.01402579728847897,0.01111382877176581,0.0075058957517661895,0.004719530746466916,0.0035873002566493284,0.0028056643540459447,0.002201648310113491,0.0017022465644531692,0.0012944467703728257,0.0009746311873182201,0.0007428548913299693,0.0005785521709986696,0.0004586592144022461,0.00037166095027907353,0.00029112400000586014,0.00024254876300955353,0.00020381457453477747,0.00017258032894862385,0.00014688860374079127,0.0001257191262392654,0.00010858922696943552,9.498109070144034e-05,8.506645642342159e-05,7.811827626608148e-05,7.318419579363522e-05,7.007406862377663e-05,7.143620183860944e-05,7.536475642916374e-05,8.209967242517324e-05,9.19699362251225e-05,0.00010539443179631569,0.00012316335229271835,0.00014738535743399894,0.0001820599195191605,0.00023125841839084088,0.00029595902400043894,0.00032707513898153073,0.00028906047678448066,0.0002433738976347563,0.00020865414704444168,0.0001753525679939992,0.00014436969680110476,0.00011662442978850954,9.239145561050835e-05,7.193158638410524e-05]",64,1.0,False,1.0,False,1.0,False,0.0033177222137035843,50,1.1007280687302212e-05
vel1,0.77555447638224,False,persistence,False,"[0.888889212947106,0.7884460484565352,0.7103123795823194,0.6451959957994404,0.5881267735239817,0.5363960854083416,0.4934430105131469,0.4622345216303074,0.4340384382412594,0.40399841699399985,0.37486905268087867,0.34364048933275626,0.32307992388814455,0.30603030850033974,0.29279699282051297,0.28191258924562135,0.2715257226918766,0.2630840971287398,0.25680652899609413,0.2526396587418276,0.24997543844438042,0.25258737343574467,0.24526050332860905,0.23824470951512922,0.23123527028110402,0.22560689018428093,0.22050454174677725,0.21568254193334724,0.21123939727476682,0.20717288411287882,0.20315472661604872,0.19951544076320715,0.1960509094187728,0.1919513162047224,0.1887040808396705,0.1855507259388105,0.1819657996911701,0.17810290670058748,0.17445248729200102,0.17130368608923163,0.1681928990255983,0.16517516184103442,0.16254324403053033,0.16189983033109456,0.1619310665046214,0.16347295467858203,0.16563051263801754,0.16815720229351427,0.1709391484146181,0.1736371634324314,0.17612145607199636,0.17765347579916124,0.17711990325915394,0.17440335049832356,0.17123345992149552,0.16412675532410503,0.15170424198367982,0.14079075524932705,0.13212186258169822,0.12557348214977537,0.12163389517081669,0.11757314153510379,0.11479202809277922,0.11333473656486603]",64,1.0,False,1.0,False,1.0,False,0.1641961859464185,50,0.026960387479350836
vel2,0.0006420653511440833,False,persistence,False,"[0.0002349112760953176,0.0003510634536496582,0.00032762304006084264,0.00022496807803662477,0.00013373369279179315,4.50614739690991e-05,-9.555168307429085e-05,-0.00021410852713188433,-0.00029100189749442507,-0.0002420251307739818,-0.000240894184202034,-0.0002582259880909987,-0.0002788848549926115,-0.00026480309514553824,-0.0001870486126232529,-6.370570001116085e-05,3.088176318388758e-05,5.865849879817947e-05,5.98051694602475e-05,5.2568891913296056e-05,5.2623669889366106e-05,5.2173133084920664e-05,-3.6002305241034094e-05,-3.0177698050692925e-05,-3.125125869507528e-05,-2.8743656075747026e-05,-3.6950413331293674e-05,-3.991281097981414e-05,-2.8955514528306026e-05,-2.1365330656664128e-05,-9.818479040024641e-06,-7.615758753409807e-06,1.8270265651487705e-06,4.482723512388986e-06,4.0912222090128125e-06,4.822296054030062e-06,7.512611003512859e-06,5.817275260611154e-06,3.818442209979622e-06,3.0864778430839124e-06,2.8113538990126585e-06,3.8081360378416917e-06,5.111952519704088e-06,-1.7878087590350589e-06,-1.1262129637756857e-06,-6.55644768081387e-07,-2.2083569239939038e-07,4.70949590880565e-07,9.075308531336646e-07,1.1424738648457833e-06,1.1869451492785288e-06,9.029125780379843e-07,1.966558971222554e-08,-1.1274182862841542e-06,-2.528993153561032e-06,-3.5295271998414535e-06,-1.8305362932125036e-06,-4.384723872874474e-08,-2.5900686750901514e-07,-1.154784125323438e-06,-1.1468067089154266e-06,-1.2868005960231521e-06,-1.004173917434903e-06,-1.538627058511599e-06]",64,1.0,False,1.0,False,1.0,False,0.00011741275328042959,50,1.3785754632891029e-08
vel3,0.10235054677320932,False,persistence,False,"[0.10361377149820328,0.10361377149820328,0.10361377149820328,0.1035233976872405,0.10311932844524563,0.10255523610976525,0.10062751000441494,0.09309866889452678,0.08117467850831872,0.06973939300269194,0.06143823052519792,0.054843990657218455,0.05132139781153455,0.048272357369455676,0.046634971483513254,0.0448953824389946,0.043397821355142696,0.043216423984119956,0.04521351740851287,0.04729873918631711,0.04769567332505176,0.047418362044254536,0.04606379902440949,0.04495270236270699,0.043420269987677784,0.04152632887564778,0.03975683071007552,0.03815673724682256,0.03660138018130965,0.03502479359758581,0.03347592914155939,0.03186785287175553,0.030228440431415038,0.028207702823920044,0.02657950992829683,0.02499221054199552,0.02346262731191473,0.021969185044895312,0.0204718967609665,0.01888557643559352,0.01733262527216084,0.01585854209588433,0.014412338402678415,0.013657111721784077,0.012324188486729781,0.011319064687256741,0.010354076092937703,0.009437413304283382,0.00860978020841685,0.0077641677852966495,0.0070159879320499385,0.00632781231752233,0.005727795738323493,0.005172459419327424,0.004649690959411146,0.004194604430608706,0.0037329080347490162,0.0032273811216327886,0.0028179523422409147,0.002434758201900422,0.0020483838430322976,0.0017172300844094934,0.0013830944101300702,0.001263224724993961]",64,1.0,False,1.0,False,1.0,False,0.03111250524459838,50,0.0009679879825951616
Bcc1,0.00443409468780942,False,persistence,False,"[-0.004440635937498882,-0.004079367601661943,-0.003749420433450723,-0.0034729066719592083,-0.0032896648190217093,-0.0030669399711769074,-0.0028239296334504616,-0.002704054956211621,-0.0025543226104218775,-0.002477426897485202,-0.0024390809398937563,-0.002394216774519009,-0.002358042848527475,-0.0023345031784174353,-0.0022555435589310946,-0.002185728764288797,-0.0021326940784547332,-0.002047099374976824,-0.0019526202393080894,-0.00183994269062282,-0.0017169603836464375,-0.001638367220039072,-0.001500626146707873,-0.001348483448055049,-0.001235954184039656,-0.001107166666173498,-0.0009791222465764804,-0.0008767093772235057,-0.0007865858897559974,-0.000715755625904535,-0.0006189253133648265,-0.0005541995843572067,-0.0004951932027950079,-0.00040258945054461037,-0.00033896326763738216,-0.0002922803091394144,-0.00025643846549883165,-0.0002259599010585589,-0.00020456815889247082,-0.00019093191531283082,-0.00017994688619182853,-0.00016959472964117595,-0.00015644245331714046,-1.178835464088479e-05,-1.1314856010358199e-05,-1.1160247140651336e-05,-1.1264612794548157e-05,-1.147089801634138e-05,-1.1513785011629807e-05,-1.1133218322356697e-05,-1.0701096016418887e-05,-1.0133536022749468e-05,-9.386507413111644e-06,-8.572339943668794e-06,-7.682864136882017e-06,-6.72335458773432e-06,-6.541249689462347e-06,-7.493980525907773e-06,-8.370320898620776e-06,-8.329091642167441e-06,-7.497840528003508e-06,-7.315038075716984e-06,-7.649482284932674e-06,-8.147843146844025e-06]",64,1.0,False,1.0,False,1.0,False,0.0012359043816332416,75,1.5274596405402454e-06
Bcc2,0.06792222880550014,False,persistence,False,"[0.01099168761287217,-0.0051168273882638005,-0.02526371137699357,-0.03924377227178866,-0.048182020416476234,-0.053193000578119154,-0.05573187456616324,-0.05680037042463937,-0.05693054119262797,-0.056432947374105424,-0.05548201590727331,-0.05401733258628383,-0.05235163188831393,-0.05015928405094883,-0.04736971975455617,-0.04411454318636743,-0.0404963147312003,-0.03653729801831673,-0.031938769790855304,-0.021197915532013667,-0.014261656332976713,-0.0099121870392338,-0.00670718537067394,-0.0053613643938899,-0.004349788645257036,-0.003482994189888622,-0.002719282988606686,-0.002102173179659772,-0.0016225358127091027,-0.0012490183577908986,-0.000954290997695395,-0.0007211798342545706,-0.0005444776345926439,-0.0003948612828168496,-0.0003179962049471019,-0.00026823595861413807,-0.00023372045583780476,-0.0002056135649421975,-0.0001813664898543399,-0.00016083432978192258,-0.00014014135094231328,-0.00011751976674828635,-9.771178543055425e-05,-8.144660510739365e-05,-5.581335265609014e-05,-4.1498909485668256e-05,-2.9195725325781297e-05,-1.8502594857063015e-05,-1.0158943451188396e-05,-4.862127933324967e-06,-2.2326552412549328e-06,-2.727566565184636e-06,-7.698892613473146e-06,-1.4680980064249105e-05,-1.9262545626864714e-05,-1.9553165466374984e-05,-1.6058256457861242e-05,-1.3234857357002222e-05,-1.0901348859018722e-05,-8.794666075570903e-06,-7.114357940345454e-06,-5.719759689885168e-06,-4.574415042486735e-06,-3.5826786579651326e-06]",64,1.0,False,1.0,False,1.0,False,0.021122621739080284,75,0.0004461651491322671
Bcc3,0.00021170301812079018,False,persistence,False,"[0.0001687118347035721,0.0001687118347035721,0.0001687118347035721,0.0,0.0,0.0001687118347035721,0.0001065932136725678,6.83412481095047e-05,7.353409093013852e-05,-1.814149868550885e-05,-3.9388199468248786e-05,-2.8397625214893196e-05,-4.478657388062857e-06,-4.011061896846968e-05,-3.4818788350321483e-05,-3.700788539617861e-05,7.35643077689474e-05,3.9515471911499844e-05,4.371503253253195e-05,2.5168888271309697e-06,-9.836090313797285e-06,-4.299118341721808e-05,-1.758914618221752e-05,-9.98407383612232e-06,8.749355373538492e-08,-1.0843541167204762e-05,-1.8225816944550388e-06,-3.982948904024397e-06,-2.044230493325472e-06,2.474828951015695e-05,1.978149396464346e-05,2.8123732123574996e-05,3.806317533960879e-05,3.2219131977040405e-05,4.245926189172522e-05,3.5072472504782404e-05,4.279801757564594e-05,4.0578180677319775e-05,3.958124508929295e-05,4.153327902400861e-05,4.362106919875153e-05,4.307376818279973e-05,3.9993516628422654e-05,1.548718569743812e-05,1.4311172594982935e-05,1.2669362046136001e-05,1.1029180082777756e-05,9.726001335974566e-06,8.511771642849553e-06,7.269391696207439e-06,6.224923082637224e-06,5.330270032410933e-06,4.561220928026022e-06,3.88717048421805e-06,3.2273154721984554e-06,2.4772496427447055e-06,2.0467753950037526e-06,1.8634698926156545e-06,1.6641639388748075e-06,1.3443352434722167e-06,8.973371252876759e-07,6.24673229143724e-07,3.8549480191329977e-07,2.402253800326548e-07]",64,1.0,False,1.0,False,1.0,False,4.7299087095717874e-05,75,2.237203640088305e-09
rho,0.5990183296377154,False,persistence,False,"[0.011160786956907032,0.009379639260828299,0.00811647915895719,0.0071849453918275685,0.006479844849309302,0.00586695097649681,0.005391968883714071,0.004960806867643441,0.0044882916904498416,0.003924154904325405,0.0033406403165372467,0.002726956228570998,0.002301471678578082,0.001935758648897945,0.0016652154421592513,0.001498078095096389,0.0014039282091573568,0.001611749692074227,0.04126584938605049,0.39779427467834694,0.6004222578468728,0.5588918673439025,0.35110468171230025,0.2661557645338064,0.22122566265274912,0.20147917983542385,0.187243500126705,0.17088839735304617,0.15153255356176487,0.1337336734880381,0.11909966999734323,0.10723308137551513,0.09763245031901846,0.088568106313474,0.08289701370621216,0.07807791744335368,0.07419140450021011,0.0712980916291972,0.0692483657459011,0.06778204419845224,0.0664439651773403,0.06606499110893704,0.06683522558404587,0.06753595365088039,0.07135930519347866,0.07555306803611028,0.08142955647342953,0.08906574914980858,0.0988168913169396,0.1110477922989399,0.12631750089117233,0.14614085081198125,0.17348356875303872,0.21066120229268126,0.25690788252471597,0.27862094258607684,0.25435584968823743,0.22575658402026266,0.20289914905512285,0.17953984024171987,0.15638071564962275,0.1342204980667604,0.11348526534357595,0.09466677654339772]",64,1.0,False,1.0,False,1.0,False,0.12355833587757754,75,0.015266662364836266
press,0.013955723219855193,False,persistence,False,"[0.01309821671895861,0.010171955595637883,0.008026570818287837,0.006368533440081592,0.005063399880100405,0.004032451970999773,0.003301451464096772,0.002707172705612493,0.0021889426351719976,0.0017118796975239547,0.0013097444107046385,0.0009513396213520764,0.0007368892179329123,0.0005711361888955935,0.00045487552970513434,0.00038704337435291336,0.0004284043219016098,0.0018578780831610686,0.008774352503554184,0.01402579728847897,0.01111382877176581,0.0075058957517661895,0.004719530746466916,0.0035873002566493284,0.0028056643540459447,0.002201648310113491,0.0017022465644531692,0.0012944467703728257,0.0009746311873182201,0.0007428548913299693,0.0005785521709986696,0.0004586592144022461,0.00037166095027907353,0.00029112400000586014,0.00024254876300955353,0.00020381457453477747,0.00017258032894862385,0.00014688860374079127,0.0001257191262392654,0.00010858922696943552,9.498109070144034e-05,8.506645642342159e-05,7.811827626608148e-05,7.318419579363522e-05,7.007406862377663e-05,7.143620183860944e-05,7.536475642916374e-05,8.209967242517324e-05,9.19699362251225e-05,0.00010539443179631569,0.00012316335229271835,0.00014738535743399894,0.0001820599195191605,0.00023125841839084088,0.00029595902400043894,0.00032707513898153073,0.00028906047678448066,0.0002433738976347563,0.00020865414704444168,0.0001753525679939992,0.00014436969680110476,0.00011662442978850954,9.239145561050835e-05,7.193158638410524e-05]",64,1.0,False,1.0,False,1.0,False,0.0033177222137035843,75,1.1007280687302212e-05
vel1,0.77555447638224,False,persistence,False,"[0.888889212947106,0.7884460484565352,0.7103123795823194,0.6451959957994404,0.5881267735239817,0.5363960854083416,0.4934430105131469,0.4622345216303074,0.4340384382412594,0.40399841699399985,0.37486905268087867,0.34364048933275626,0.32307992388814455,0.30603030850033974,0.29279699282051297,0.28191258924562135,0.2715257226918766,0.2630840971287398,0.25680652899609413,0.2526396587418276,0.24997543844438042,0.25258737343574467,0.24526050332860905,0.23824470951512922,0.23123527028110402,0.22560689018428093,0.22050454174677725,0.21568254193334724,0.21123939727476682,0.20717288411287882,0.20315472661604872,0.19951544076320715,0.1960509094187728,0.1919513162047224,0.1887040808396705,0.1855507259388105,0.1819657996911701,0.17810290670058748,0.17445248729200102,0.17130368608923163,0.1681928990255983,0.16517516184103442,0.16254324403053033,0.16189983033109456,0.1619310665046214,0.16347295467858203,0.16563051263801754,0.16815720229351427,0.1709391484146181,0.1736371634324314,0.17612145607199636,0.17765347579916124,0.17711990325915394,0.17440335049832356,0.17123345992149552,0.16412675532410503,0.15170424198367982,0.14079075524932705,0.13212186258169822,0.12557348214977537,0.12163389517081669,0.11757314153510379,0.11479202809277922,0.11333473656486603]",64,1.0,False,1.0,False,1.0,False,0.1641961859464185,75,0.026960387479350836
vel2,0.0006420653511440833,False,persistence,False,"[0.0002349112760953176,0.0003510634536496582,0.00032762304006084264,0.00022496807803662477,0.00013373369279179315,4.50614739690991e-05,-9.555168307429085e-05,-0.00021410852713188433,-0.00029100189749442507,-0.0002420251307739818,-0.000240894184202034,-0.0002582259880909987,-0.0002788848549926115,-0.00026480309514553824,-0.0001870486126232529,-6.370570001116085e-05,3.088176318388758e-05,5.865849879817947e-05,5.98051694602475e-05,5.2568891913296056e-05,5.2623669889366106e-05,5.2173133084920664e-05,-3.6002305241034094e-05,-3.0177698050692925e-05,-3.125125869507528e-05,-2.8743656075747026e-05,-3.6950413331293674e-05,-3.991281097981414e-05,-2.8955514528306026e-05,-2.1365330656664128e-05,-9.818479040024641e-06,-7.615758753409807e-06,1.8270265651487705e-06,4.482723512388986e-06,4.0912222090128125e-06,4.822296054030062e-06,7.512611003512859e-06,5.817275260611154e-06,3.818442209979622e-06,3.0864778430839124e-06,2.8113538990126585e-06,3.8081360378416917e-06,5.111952519704088e-06,-1.7878087590350589e-06,-1.1262129637756857e-06,-6.55644768081387e-07,-2.2083569239939038e-07,4.70949590880565e-07,9.075308531336646e-07,1.1424738648457833e-06,1.1869451492785288e-06,9.029125780379843e-07,1.966558971222554e-08,-1.1274182862841542e-06,-2.528993153561032e-06,-3.5295271998414535e-06,-1.8305362932125036e-06,-4.384723872874474e-08,-2.5900686750901514e-07,-1.154784125323438e-06,-1.1468067089154266e-06,-1.2868005960231521e-06,-1.004173917434903e-06,-1.538627058511599e-06]",64,1.0,False,1.0,False,1.0,False,0.00011741275328042959,75,1.3785754632891029e-08
vel3,0.10235054677320932,False,persistence,False,"[0.10361377149820328,0.10361377149820328,0.10361377149820328,0.1035233976872405,0.10311932844524563,0.10255523610976525,0.10062751000441494,0.09309866889452678,0.08117467850831872,0.06973939300269194,0.06143823052519792,0.054843990657218455,0.05132139781153455,0.048272357369455676,0.046634971483513254,0.0448953824389946,0.043397821355142696,0.043216423984119956,0.04521351740851287,0.04729873918631711,0.04769567332505176,0.047418362044254536,0.04606379902440949,0.04495270236270699,0.043420269987677784,0.04152632887564778,0.03975683071007552,0.03815673724682256,0.03660138018130965,0.03502479359758581,0.03347592914155939,0.03186785287175553,0.030228440431415038,0.028207702823920044,0.02657950992829683,0.02499221054199552,0.02346262731191473,0.021969185044895312,0.0204718967609665,0.01888557643559352,0.01733262527216084,0.01585854209588433,0.014412338402678415,0.013657111721784077,0.012324188486729781,0.011319064687256741,0.010354076092937703,0.009437413304283382,0.00860978020841685,0.0077641677852966495,0.0070159879320499385,0.00632781231752233,0.005727795738323493,0.005172459419327424,0.004649690959411146,0.004194604430608706,0.0037329080347490162,0.0032273811216327886,0.0028179523422409147,0.002434758201900422,0.0020483838430322976,0.0017172300844094934,0.0013830944101300702,0.001263224724993961]",64,1.0,False,1.0,False,1.0,False,0.03111250524459838,75,0.0009679879825951616
Bcc1,0.00443409468780942,False,persistence,False,"[-0.004440635937498882,-0.004079367601661943,-0.003749420433450723,-0.0034729066719592083,-0.0032896648190217093,-0.0030669399711769074,-0.0028239296334504616,-0.002704054956211621,-0.0025543226104218775,-0.002477426897485202,-0.0024390809398937563,-0.002394216774519009,-0.002358042848527475,-0.0023345031784174353,-0.0022555435589310946,-0.002185728764288797,-0.0021326940784547332,-0.002047099374976824,-0.0019526202393080894,-0.00183994269062282,-0.0017169603836464375,-0.001638367220039072,-0.001500626146707873,-0.001348483448055049,-0.001235954184039656,-0.001107166666173498,-0.0009791222465764804,-0.0008767093772235057,-0.0007865858897559974,-0.000715755625904535,-0.0006189253133648265,-0.0005541995843572067,-0.0004951932027950079,-0.00040258945054461037,-0.00033896326763738216,-0.0002922803091394144,-0.00025643846549883165,-0.0002259599010585589,-0.00020456815889247082,-0.00019093191531283082,-0.00017994688619182853,-0.00016959472964117595,-0.00015644245331714046,-1.178835464088479e-05,-1.1314856010358199e-05,-1.1160247140651336e-05,-1.1264612794548157e-05,-1.147089801634138e-05,-1.1513785011629807e-05,-1.1133218322356697e-05,-1.0701096016418887e-05,-1.0133536022749468e-05,-9.386507413111644e-06,-8.572339943668794e-06,-7.682864136882017e-06,-6.72335458773432e-06,-6.541249689462347e-06,-7.493980525907773e-06,-8.370320898620776e-06,-8.329091642167441e-06,-7.497840528003508e-06,-7.315038075716984e-06,-7.649482284932674e-06,-8.147843146844025e-06]",64,1.0,False,1.0,False,1.0,False,0.0012359043816332416,100,1.5274596405402454e-06
Bcc2,0.06792222880550014,False,persistence,False,"[0.01099168761287217,-0.0051168273882638005,-0.02526371137699357,-0.03924377227178866,-0.048182020416476234,-0.053193000578119154,-0.05573187456616324,-0.05680037042463937,-0.05693054119262797,-0.056432947374105424,-0.05548201590727331,-0.05401733258628383,-0.05235163188831393,-0.05015928405094883,-0.04736971975455617,-0.04411454318636743,-0.0404963147312003,-0.03653729801831673,-0.031938769790855304,-0.021197915532013667,-0.014261656332976713,-0.0099121870392338,-0.00670718537067394,-0.0053613643938899,-0.004349788645257036,-0.003482994189888622,-0.002719282988606686,-0.002102173179659772,-0.0016225358127091027,-0.0012490183577908986,-0.000954290997695395,-0.0007211798342545706,-0.0005444776345926439,-0.0003948612828168496,-0.0003179962049471019,-0.00026823595861413807,-0.00023372045583780476,-0.0002056135649421975,-0.0001813664898543399,-0.00016083432978192258,-0.00014014135094231328,-0.00011751976674828635,-9.771178543055425e-05,-8.144660510739365e-05,-5.581335265609014e-05,-4.1498909485668256e-05,-2.9195725325781297e-05,-1.8502594857063015e-05,-1.0158943451188396e-05,-4.862127933324967e-06,-2.2326552412549328e-06,-2.727566565184636e-06,-7.698892613473146e-06,-1.4680980064249105e-05,-1.9262545626864714e-05,-1.9553165466374984e-05,-1.6058256457861242e-05,-1.3234857357002222e-05,-1.0901348859018722e-05,-8.794666075570903e-06,-7.114357940345454e-06,-5.719759689885168e-06,-4.574415042486735e-06,-3.5826786579651326e-06]",64,1.0,False,1.0,False,1.0,False,0.021122621739080284,100,0.0004461651491322671
Bcc3,0.00021170301812079018,False,persistence,False,"[0.0001687118347035721,0.0001687118347035721,0.0001687118347035721,0.0,0.0,0.0001687118347035721,0.0001065932136725678,6.83412481095047e-05,7.353409093013852e-05,-1.814149868550885e-05,-3.9388199468248786e-05,-2.8397625214893196e-05,-4.478657388062857e-06,-4.011061896846968e-05,-3.4818788350321483e-05,-3.700788539617861e-05,7.35643077689474e-05,3.9515471911499844e-05,4.371503253253195e-05,2.5168888271309697e-06,-9.836090313797285e-06,-4.299118341721808e-05,-1.758914618221752e-05,-9.98407383612232e-06,8.749355373538492e-08,-1.0843541167204762e-05,-1.8225816944550388e-06,-3.982948904024397e-06,-2.044230493325472e-06,2.474828951015695e-05,1.978149396464346e-05,2.8123732123574996e-05,3.806317533960879e-05,3.2219131977040405e-05,4.245926189172522e-05,3.5072472504782404e-05,4.279801757564594e-05,4.0578180677319775e-05,3.958124508929295e-05,4.153327902400861e-05,4.362106919875153e-05,4.307376818279973e-05,3.9993516628422654e-05,1.548718569743812e-05,1.4311172594982935e-05,1.2669362046136001e-05,1.1029180082777756e-05,9.726001335974566e-06,8.511771642849553e-06,7.269391696207439e-06,6.224923082637224e-06,5.330270032410933e-06,4.561220928026022e-06,3.88717048421805e-06,3.2273154721984554e-06,2.4772496427447055e-06,2.0467753950037526e-06,1.8634698926156545e-06,1.6641639388748075e-06,1.3443352434722167e-06,8.973371252876759e-07,6.24673229143724e-07,3.8549480191329977e-07,2.402253800326548e-07]",64,1.0,False,1.0,False,1.0,False,4.7299087095717874e-05,100,2.237203640088305e-09
rho,0.5990183296377154,False,persistence,False,"[0.011160786956907032,0.009379639260828299,0.00811647915895719,0.0071849453918275685,0.006479844849309302,0.00586695097649681,0.005391968883714071,0.004960806867643441,0.0044882916904498416,0.003924154904325405,0.0033406403165372467,0.002726956228570998,0.002301471678578082,0.001935758648897945,0.0016652154421592513,0.001498078095096389,0.0014039282091573568,0.001611749692074227,0.04126584938605049,0.39779427467834694,0.6004222578468728,0.5588918673439025,0.35110468171230025,0.2661557645338064,0.22122566265274912,0.20147917983542385,0.187243500126705,0.17088839735304617,0.15153255356176487,0.1337336734880381,0.11909966999734323,0.10723308137551513,0.09763245031901846,0.088568106313474,0.08289701370621216,0.07807791744335368,0.07419140450021011,0.0712980916291972,0.0692483657459011,0.06778204419845224,0.0664439651773403,0.06606499110893704,0.06683522558404587,0.06753595365088039,0.07135930519347866,0.07555306803611028,0.08142955647342953,0.08906574914980858,0.0988168913169396,0.1110477922989399,0.12631750089117233,0.14614085081198125,0.17348356875303872,0.21066120229268126,0.25690788252471597,0.27862094258607684,0.25435584968823743,0.22575658402026266,0.20289914905512285,0.17953984024171987,0.15638071564962275,0.1342204980667604,0.11348526534357595,0.09466677654339772]",64,1.0,False,1.0,False,1.0,False,0.12355833587757754,100,0.015266662364836266
press,0.013955723219855193,False,persistence,False,"[0.01309821671895861,0.010171955595637883,0.008026570818287837,0.006368533440081592,0.005063399880100405,0.004032451970999773,0.003301451464096772,0.002707172705612493,0.0021889426351719976,0.0017118796975239547,0.0013097444107046385,0.0009513396213520764,0.0007368892179329123,0.0005711361888955935,0.00045487552970513434,0.00038704337435291336,0.0004284043219016098,0.0018578780831610686,0.008774352503554184,0.01402579728847897,0.01111382877176581,0.0075058957517661895,0.004719530746466916,0.0035873002566493284,0.0028056643540459447,0.002201648310113491,0.0017022465644531692,0.0012944467703728257,0.0009746311873182201,0.0007428548913299693,0.0005785521709986696,0.0004586592144022461,0.00037166095027907353,0.00029112400000586014,0.00024254876300955353,0.00020381457453477747,0.00017258032894862385,0.00014688860374079127,0.0001257191262392654,0.00010858922696943552,9.498109070144034e-05,8.506645642342159e-05,7.811827626608148e-05,7.318419579363522e-05,7.007406862377663e-05,7.143620183860944e-05,7.536475642916374e-05,8.209967242517324e-05,9.19699362251225e-05,0.00010539443179631569,0.00012316335229271835,0.00014738535743399894,0.0001820599195191605,0.00023125841839084088,0.00029595902400043894,0.00032707513898153073,0.00028906047678448066,0.0002433738976347563,0.00020865414704444168,0.0001753525679939992,0.00014436969680110476,0.00011662442978850954,9.239145561050835e-05,7.193158638410524e-05]",64,1.0,False,1.0,False,1.0,False,0.0033177222137035843,100,1.1007280687302212e-05
