axis,channel,demeaned,ground_truth_available,high_k_axis_anisotropy,high_k_energy,low_k_energy,mid_k_energy,model,oracle_available,parseval_relative_error,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_low_k_energy,retention_vs_canonical_initial_low_k_energy_undefined,retention_vs_canonical_initial_mid_k_energy,retention_vs_canonical_initial_mid_k_energy_undefined,retention_vs_canonical_initial_total_nonzero_mode_energy,retention_vs_canonical_initial_total_nonzero_mode_energy_undefined,spectral_centroid,step,total_nonzero_mode_energy
combined,vel3,True,False,63420.80128666641,8.346455667718804,469.70661280396325,15.908046244417676,persistence,False,3.4523012338822456e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.042256720624340924,25,493.96111471609976
phi,Bcc1,False,False,17581130.132761963,2.084121056605084e-05,13608.481889977025,6.004169793604487e-05,persistence,False,1.3366585688549894e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.090930835509777,50,0.0003867908451879841
phi,Bcc1,True,False,17581130.132761963,2.084121056605084e-05,13608.161225117261,6.004169793604487e-05,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.090930835509777,50,0.0003867908451879841
theta,Bcc1,False,False,17581130.132761963,291.2091642904676,12801.23914325187,516.0336633175953,persistence,False,1.3366585688549894e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.03898642666459261,50,13607.760885798074
theta,Bcc1,True,False,17581130.132761963,291.2091642904676,12800.918478392108,516.0336633175953,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.03898642666459261,50,13607.760885798074
r,Bcc1,False,False,17581130.132761963,366.4120350860334,12750.976251247997,491.09368452590377,persistence,False,1.3366585688549894e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.0557819905296304,50,8298.378590245833
r,Bcc1,True,False,17581130.132761963,366.4120350860334,12750.655586388231,491.09368452590377,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.055781990529630406,50,8298.378590245833
combined,Bcc1,False,False,17581130.132761963,647.4204379494049,12013.064775722803,947.9967571877269,persistence,False,1.3366585688549894e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05897940857105075,50,13608.161306000173
combined,Bcc1,True,False,17581130.132761963,647.4204379494049,12012.744110863041,947.9967571877269,persistence,False,2.67338013217674e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.05897940857105075,50,13608.161306000173
phi,Bcc2,False,False,9519750.653900297,2.414822535388696e-07,240.64371173168507,7.476182895287447e-07,persistence,False,1.1810701018971225e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.07099235245055321,50,8.842726303211578e-06
