absolute_residual_error,finite,ground_truth_available,model,normalized_global_norm,physical_l2,physical_range_explosion,physical_range_ratio,press_q001,press_q999,radial_absolute_error,radial_skill,residual_cosine,residual_l2,rho_press_positive,rho_q001,rho_q999,selected_step,shell_absolute_error,shell_skill,state_l2,step
674.4939941194632,True,True,Index-space DISCO3D LocalNO,2834862.060907943,7.088593525304807e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,2.8756463222266576e+38,-0.03590841419085766,-0.35961822934536264,1.5030854261202122,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.196063107811686e+76,-0.03335110049996115,60.18728150835014,40
700.6137643921643,True,True,Index-space DISCO3D LocalNO,2935889.0075437184,7.306445319250231e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,2.910941239552325e+38,-0.03347469250435342,-0.36072223663092934,1.5055854645953728,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.456864005255766e+76,-0.03182026468238264,62.51830752463626,41
730.3165035461769,True,True,Index-space DISCO3D LocalNO,3057082.1247167764,7.456877055549478e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,2.9114832645689036e+38,-0.03274895552233392,-0.3518150398692487,1.5141999979819707,True,1.1754943508222875e-38,2.1504328797415057e+25,True,8.713361568100806e+76,-0.03033010376962819,65.24910036588984,42
,True,False,Index-space DISCO3D LocalNO,3183884.4663059185,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,43
,True,False,Index-space DISCO3D LocalNO,3339578.248055116,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,44
,True,False,Index-space DISCO3D LocalNO,3496455.625081526,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,45
,True,False,Index-space DISCO3D LocalNO,3696451.859822912,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,46
,True,False,Index-space DISCO3D LocalNO,3904167.6061043823,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,47
,True,False,Index-space DISCO3D LocalNO,4163224.8317870093,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,48
,True,False,Index-space DISCO3D LocalNO,4443506.23281179,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,49
,True,False,Index-space DISCO3D LocalNO,4781041.400282853,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,True,,,,50
,True,False,Index-space DISCO3D LocalNO,5167178.665764336,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,51
,True,False,Index-space DISCO3D LocalNO,5642855.335902005,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,52
,True,False,Index-space DISCO3D LocalNO,6217103.350669387,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,53
,True,False,Index-space DISCO3D LocalNO,6929662.064687819,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,54
,True,False,Index-space DISCO3D LocalNO,7806146.509920792,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,55
,True,False,Index-space DISCO3D LocalNO,8891461.68191509,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,56
,True,False,Index-space DISCO3D LocalNO,10254892.332678532,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,57
,True,False,Index-space DISCO3D LocalNO,11979241.70314366,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,58
,True,False,Index-space DISCO3D LocalNO,14136873.23354389,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,59
,True,False,Index-space DISCO3D LocalNO,16829494.494786542,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,60
,True,False,Index-space DISCO3D LocalNO,20194407.3150524,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,61
,True,False,Index-space DISCO3D LocalNO,24381911.639065888,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,62
,True,False,Index-space DISCO3D LocalNO,29598915.36042105,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,63
,True,False,Index-space DISCO3D LocalNO,36143935.970624976,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,64
,True,False,Index-space DISCO3D LocalNO,44349127.943628766,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,65
,True,False,Index-space DISCO3D LocalNO,54527372.1978079,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,66
,True,False,Index-space DISCO3D LocalNO,67149609.59267503,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,67
,True,False,Index-space DISCO3D LocalNO,82762222.9348,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,68
,True,False,Index-space DISCO3D LocalNO,102120265.70981063,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,69
,True,False,Index-space DISCO3D LocalNO,126332655.71597506,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,70
,True,False,Index-space DISCO3D LocalNO,156766042.53884494,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,71
,True,False,Index-space DISCO3D LocalNO,195133208.60607913,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,72
,True,False,Index-space DISCO3D LocalNO,243275790.7582201,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,73
,True,False,Index-space DISCO3D LocalNO,303753266.9209922,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,74
,True,False,Index-space DISCO3D LocalNO,379576107.7136681,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,True,,,,75
,True,False,Index-space DISCO3D LocalNO,475003932.3430752,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,76
,True,False,Index-space DISCO3D LocalNO,595872808.0296062,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,77
,True,False,Index-space DISCO3D LocalNO,749670342.3511215,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,78
,True,False,Index-space DISCO3D LocalNO,945894813.3007884,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,79
,True,False,Index-space DISCO3D LocalNO,1198277902.0987406,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,80
,True,False,Index-space DISCO3D LocalNO,1522558001.984882,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,81
,True,False,Index-space DISCO3D LocalNO,1937818000.0962884,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,82
,True,False,Index-space DISCO3D LocalNO,2472490669.9015617,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,83
,True,False,Index-space DISCO3D LocalNO,3163150362.721718,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,84
,True,False,Index-space DISCO3D LocalNO,4051374043.722711,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,85
,True,False,Index-space DISCO3D LocalNO,5200622308.630523,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,86
,True,False,Index-space DISCO3D LocalNO,6694292642.1548,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,87
,True,False,Index-space DISCO3D LocalNO,8635570899.774487,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,88
,True,False,Index-space DISCO3D LocalNO,11164892809.649958,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,89
,True,False,Index-space DISCO3D LocalNO,14452381130.670687,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,90
,True,False,Index-space DISCO3D LocalNO,18737797269.568512,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,91
,True,False,Index-space DISCO3D LocalNO,24311916575.385063,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,92
,True,False,Index-space DISCO3D LocalNO,31550830343.374733,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,93
,True,False,Index-space DISCO3D LocalNO,40933488234.29528,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,94
,True,False,Index-space DISCO3D LocalNO,53096263976.57422,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,95
,True,False,Index-space DISCO3D LocalNO,68889668782.2797,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,96
,True,False,Index-space DISCO3D LocalNO,89374760504.11127,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,97
,True,False,Index-space DISCO3D LocalNO,115886797481.91516,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,98
,True,False,Index-space DISCO3D LocalNO,150262940441.19513,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,False,,,,99
,True,False,Index-space DISCO3D LocalNO,194976657155.48434,,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,,,,,True,1.1754943508222875e-38,2.1504328797415057e+25,True,,,,100
1.017153934024129,True,True,Anisotropic spherical DISCO3D LocalNO,47029.819309262675,9.92683445763452,True,993.0973610311491,2.9816915608193994e-07,29.642811120986796,0.1484705334669875,0.06493731351243981,0.8725428521256292,0.5036307019777446,True,8.10638290749921e-06,27.190277601241228,True,0.5686940716736575,-1.1695748024763581,0.20621552538468035,1
1.274177073997623,True,True,Anisotropic spherical DISCO3D LocalNO,47062.814900441736,87.77711095758141,True,9175.987700086886,2.9902021594807596e-07,53.76852301025265,0.3759576618622922,-0.8784974100242517,0.7669204068925146,0.6572660923199505,True,7.899891999841202e-06,26.208238367080295,True,9.328132773293145,-3.8281471906095774,0.26494848045452374,2
1.6243724156638588,True,True,Anisotropic spherical DISCO3D LocalNO,47372.0026510338,333765.909300271,True,36804915.45231546,2.9939542261558925e-07,101.2247657699557,9.12523502945087,-5.892934125791956,0.5673774872255075,0.8877497063610601,True,7.367742417955015e-06,23.820367671966416,True,26596.185521123873,-967.0395810082848,0.3239021493234393,3
2.1722725417866675,True,True,Anisotropic spherical DISCO3D LocalNO,48849.99818382099,26356867758615.355,True,888859352597433.2,2.983224077013347e-07,916.9345424803003,1246.134566050183,-131.03429218578356,0.258625653253904,1.2362995377764763,True,4.5552236483104043e-07,24.536060235977164,False,358009983.26922315,-13462.512474562649,0.43397195743337635,4
3.623028810851163,True,True,Anisotropic spherical DISCO3D LocalNO,54187.100754445506,48728348337571.65,True,888859352597433.2,2.909732236560103e-07,29291.598755858005,152394176.7591047,-122330.70195055465,0.13998643454228255,1.5479870824808324,True,1.1754943508222875e-38,24.67798487091059,True,1.1787151300961227e+19,-16123614201.130753,0.6541793927790771,5
6.177127070496612,True,True,Anisotropic spherical DISCO3D LocalNO,67184.5340582688,2.254876773476402e+17,True,6.038690279219686e+19,6.797705176531112e-09,119644974432.09633,1100606831110.4187,-7221.105525556902,0.09299122730628637,1.6312953006366164,True,1.1754943508222875e-38,38.56631378173767,False,3.1104975082953884e+26,-26388881.511771366,1.0471657422903995,6
10.540667778483968,True,True,Anisotropic spherical DISCO3D LocalNO,93272.3614027892,5.6132704883264615e+32,True,1.7054667985680685e+35,1.1754943508222875e-38,6.620955797775974e+16,1.634006023124217e+20,-148464098.7071711,0.05247043767742978,1.62691816544747,True,1.1754943508222875e-38,196.15720060722634,False,8.624606642234361e+42,-2.7727418585719456e+16,1.6984601422677208,7
17.635808817090528,True,True,Anisotropic spherical DISCO3D LocalNO,139325.08397908608,2.176871602043155e+36,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.632832940559206e+35,-8462.914518867421,-0.003791170472991602,1.6176809782715185,True,1.1754943508222875e-38,16718.68816698603,False,6.827011264600391e+72,-14685978.745758075,2.7333379400659323,8
29.20863627173378,True,True,Anisotropic spherical DISCO3D LocalNO,215421.44423531851,5.712146866425431e+36,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,2.7212753281966696e+36,-6.1182632545927325,-0.06292591565588507,1.610023023829575,True,1.1754943508222875e-38,496518181.9836863,False,2.115967271344908e+74,-5.569806558080225,4.353885991959777,9
46.7736214462861,True,True,Anisotropic spherical DISCO3D LocalNO,330933.42051076295,1.2341801895230193e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.0903682593747249e+37,-1.4498342117120626,-0.08692420017657211,1.591945639373778,True,1.1754943508222875e-38,2.1504328797415057e+25,True,1.044708686375854e+75,-2.8133379687344084,6.7406849947779035,10
72.21219208340949,True,True,Anisotropic spherical DISCO3D LocalNO,489211.8266238067,2.0510639487803654e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,2.31978180089974e+37,-0.965634464437102,-0.12569819406702726,1.5903027581433546,True,1.1754943508222875e-38,2.1504328797415057e+25,True,2.6388725567053367e+75,-1.5259410504757223,9.954885775223586,11
103.86668114360842,True,True,Anisotropic spherical DISCO3D LocalNO,666722.0640030041,2.8941615962437987e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,3.7462984493634336e+37,-0.5957774025854214,-0.12768588869907532,1.563147296800974,True,1.1754943508222875e-38,2.1504328797415057e+25,False,5.340847210120102e+75,-0.9904559399380781,13.58955859902535,12
139.19919894146307,True,True,Anisotropic spherical DISCO3D LocalNO,843624.5621064116,3.4935926218125475e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,5.481984334633771e+37,-0.4444287925604049,-0.11360435241097315,1.5438165462362896,True,1.1754943508222875e-38,2.1504328797415057e+25,False,9.52933634570971e+75,-0.7619381256560447,17.129697304778695,13
175.392403538626,True,True,Anisotropic spherical DISCO3D LocalNO,1017677.4815498072,4.0344785441551354e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,5.591799483392528e+37,-0.34782842401244896,-0.10412263991770333,1.5468617976300427,True,1.1754943508222875e-38,2.1504328797415057e+25,False,1.4784209031850918e+76,-0.5514416214836464,20.72166910143333,14
207.34709499245258,True,True,Anisotropic spherical DISCO3D LocalNO,1147456.7790331717,4.458180519074024e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,7.865017785898458e+37,-0.3068526862505838,-0.10698175168132723,1.5253132249109898,True,1.1754943508222875e-38,2.1504328797415057e+25,False,1.9891012625301022e+76,-0.3454228482868491,23.42895815820272,15
235.95215964085662,True,True,Anisotropic spherical DISCO3D LocalNO,1258168.635185887,4.79160582367315e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,9.405807065309277e+37,-0.2590788169538145,-0.10268114652718843,1.5151490249981205,True,1.1754943508222875e-38,2.1504328797415057e+25,False,2.471470744336078e+76,-0.24250624686267108,25.81022076159872,16
265.92770639477783,True,True,Anisotropic spherical DISCO3D LocalNO,1378076.9026036607,5.109249132878487e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,9.109698528780989e+37,-0.23066935473530936,-0.11228673424768955,1.5385492034853894,True,1.1754943508222875e-38,2.1504328797415057e+25,False,2.9931212011040015e+76,-0.21106883743754645,28.35650145294453,17
297.61838142434306,True,True,Anisotropic spherical DISCO3D LocalNO,1507205.4992358522,5.733543072080313e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,7.803732026627019e+37,-0.20966337917501177,-0.11924361225195552,1.5740330416366546,True,1.1754943508222875e-38,2.1504328797415057e+25,False,3.468756297506312e+76,-0.158909400737556,31.241274238608423,18
329.14247390059575,True,True,Anisotropic spherical DISCO3D LocalNO,1645331.9067191507,6.198307421389303e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,7.021884679168272e+37,-0.18317173274277154,-0.1414908535794815,1.6206092531058938,True,1.1754943508222875e-38,2.1504328797415057e+25,True,4.017009244486717e+76,-0.15805461668625842,34.35090461453001,19
362.1364118718998,True,True,Anisotropic spherical DISCO3D LocalNO,1794871.8475885377,6.629921388169475e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,6.492139738535794e+37,-0.17178582842473444,-0.1703514523222866,1.6768347036455085,True,1.1754943508222875e-38,2.1504328797415057e+25,False,4.625816047641239e+76,-0.15155723228421736,37.58713714134429,20
393.5665390763901,True,True,Anisotropic spherical DISCO3D LocalNO,1922559.7837670962,6.7449796578759695e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,6.489085745355977e+37,-0.1442553634369652,-0.19627235902446097,1.7097308798817281,True,1.1754943508222875e-38,2.1504328797415057e+25,False,5.220114130707856e+76,-0.12847421448366014,40.36194502616826,21
425.3098476654904,True,True,Anisotropic spherical DISCO3D LocalNO,2062653.7507337844,6.86493162492105e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,7.101474452231452e+37,-0.11975070468604265,-0.20924491429581477,1.753116760349528,True,1.1754943508222875e-38,2.1504328797415057e+25,False,5.830436825042628e+76,-0.11691750008768698,43.17763187349989,22
456.0532404399252,True,True,Anisotropic spherical DISCO3D LocalNO,2189599.8638455034,7.090549868759449e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,8.209203914417741e+37,-0.12526050661271193,-0.22527673371742885,1.7838331828399097,True,1.1754943508222875e-38,2.1504328797415057e+25,False,6.351232954437135e+76,-0.0893236896346441,45.94491976097387,23
484.4881465821014,True,True,Anisotropic spherical DISCO3D LocalNO,2318012.9801747487,7.326268682783754e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,9.179769108632373e+37,-0.11101476030447799,-0.23824578032238375,1.816902275201794,True,1.1754943508222875e-38,2.1504328797415057e+25,False,6.835822292594466e+76,-0.07629846702737986,48.60721978219221,24
505.95692064303466,True,True,Anisotropic spherical DISCO3D LocalNO,2392051.0107376208,7.396198992189837e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.0220656792786798e+38,-0.09857774611210068,-0.25451431214957515,1.8127296160764468,True,1.1754943508222875e-38,2.1504328797415057e+25,True,7.203280087871249e+76,-0.05375473199103875,50.26440364217372,25
521.6803168546998,True,True,Anisotropic spherical DISCO3D LocalNO,2424006.912819249,7.436663311366572e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.1418930225305324e+38,-0.08766353374357672,-0.2681489411387908,1.7810458936649864,True,1.1754943508222875e-38,2.1504328797415057e+25,False,7.376371014923985e+76,-0.02402945948807189,50.952433763854344,26
535.151053068916,True,True,Anisotropic spherical DISCO3D LocalNO,2450964.527042922,7.722475965830996e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.2015145376905648e+38,-0.05221287282052556,-0.27658818964817744,1.7529805320201608,True,1.1754943508222875e-38,2.1504328797415057e+25,False,7.550764863730195e+76,-0.023642228468900628,51.766144791436304,27
546.3504224424116,True,True,Anisotropic spherical DISCO3D LocalNO,2468930.8597278465,7.908483174872584e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.2528323894492696e+38,-0.04271097032029503,-0.28211419277964556,1.7207677893707576,True,1.1754943508222875e-38,2.1504328797415057e+25,False,7.650858551424984e+76,-0.018029326221607356,52.05205215155154,28
557.7615967152973,True,True,Anisotropic spherical DISCO3D LocalNO,2494278.4277483076,7.859957338290517e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.3308247912371002e+38,-0.062252861950763405,-0.2858233980150226,1.6981480384809549,True,1.1754943508222875e-38,2.1504328797415057e+25,False,7.794106083438133e+76,-0.018723066313449,52.71578623482701,29
570.5216404964673,True,True,Anisotropic spherical DISCO3D LocalNO,2525424.333345666,8.071310071624121e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.4191759365929258e+38,-0.06142198006053734,-0.2879855687444334,1.6788973206993714,True,1.1754943508222875e-38,2.1504328797415057e+25,False,7.877597618263435e+76,-0.02267461738483534,53.42331753450322,30
582.3508397222066,True,True,Anisotropic spherical DISCO3D LocalNO,2557386.409219299,8.35529189554256e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.4771209851464012e+38,-0.04083006698421521,-0.28732172672067624,1.6597340268427616,True,1.1754943508222875e-38,2.1504328797415057e+25,False,7.988023755267805e+76,-0.021487701657139313,54.26993504126755,31
593.5914698035806,True,True,Anisotropic spherical DISCO3D LocalNO,2574968.3939317437,8.529484437952766e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.5535116044250685e+38,-0.05171588518938819,-0.28927701159559854,1.6307695745153197,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.107252501578003e+76,-0.02079958228465495,54.744259242542135,32
605.9474559437183,True,True,Anisotropic spherical DISCO3D LocalNO,2605157.2298407382,8.582125163934084e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.6124578149170516e+38,-0.03794384948530727,-0.2937572243419312,1.609900792816824,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.128640469455966e+76,-0.017836684460148966,55.35428964206262,33
616.8724675815301,True,True,Anisotropic spherical DISCO3D LocalNO,2622629.5720263454,8.439706880476964e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.6888611347492123e+38,-0.047383143376120485,-0.2929020465429783,1.5809299256308305,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.136618614851354e+76,-0.016276419567752942,55.579920234940516,34
628.3263310705776,True,True,Anisotropic spherical DISCO3D LocalNO,2640129.8798848907,8.748747060633553e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.7755074004413005e+38,-0.05005348904816298,-0.2962563467829063,1.5537956113278852,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.183972717749254e+76,-0.015018587178685427,56.11288321791798,35
643.7135141060787,True,True,Anisotropic spherical DISCO3D LocalNO,2684186.503702959,8.871753834211311e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.8351162387800285e+38,-0.03357284702046992,-0.2961424412012135,1.5411859868159565,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.213202842339849e+76,-0.017247524354342403,57.26801258938005,36
660.7138972171958,True,True,Anisotropic spherical DISCO3D LocalNO,2751109.6481142445,8.66540327209136e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.9024898184812847e+38,-0.03671352161650843,-0.2953916719055338,1.5394471739738247,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.296843556534466e+76,-0.01754532063978509,58.386009022798056,37
678.3880169017781,True,True,Anisotropic spherical DISCO3D LocalNO,2821921.021288961,9.218957745538183e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,1.969885493604235e+38,-0.0372507664388988,-0.29385646110621816,1.5364963319058889,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.359175037702055e+76,-0.013925564774900812,59.822256411397845,38
698.6925017703197,True,True,Anisotropic spherical DISCO3D LocalNO,2895054.89286956,9.38133633777574e+37,True,7.557129333557598e+37,1.1754943508222875e-38,6.620955797775974e+16,2.0547686528430876e+38,-0.043090402723634735,-0.2939409533804442,1.5314092271766981,True,1.1754943508222875e-38,2.1504328797415057e+25,False,8.4234373289068e+76,-0.01751369047056328,61.349970597180665,39
