all_finite,channel,median_decoded_maximum,median_decoded_minimum,median_dynamic_span_retention,median_exact_saturation_occupancy,median_finite,median_finite_count,median_global_variance_retention,median_gradient_energy_retention,median_high_k_retention,median_inverse_clamp_occupancy,median_low_k_retention,median_mid_k_retention,median_near_zero_occupancy,median_radial_profile_variance_retention,median_raw_to_oracle_relative_l2,median_shell_radial_variance_retention,median_shell_variance_retention,median_sign_agreement,median_standard_deviation_retention,median_total_variation_retention,median_value_count,minimum_decoded_maximum,minimum_decoded_minimum,minimum_dynamic_span_retention,minimum_exact_saturation_occupancy,minimum_finite,minimum_finite_count,minimum_global_variance_retention,minimum_gradient_energy_retention,minimum_high_k_retention,minimum_inverse_clamp_occupancy,minimum_low_k_retention,minimum_mid_k_retention,minimum_near_zero_occupancy,minimum_radial_profile_variance_retention,minimum_raw_to_oracle_relative_l2,minimum_shell_radial_variance_retention,minimum_shell_variance_retention,minimum_sign_agreement,minimum_standard_deviation_retention,minimum_total_variation_retention,minimum_value_count,policy,prototype,prototype_name,snapshot_count,split
True,vel2,0.03573155030608177,-0.03573150932788849,0.6960343755642209,0.0,1.0,262144.0,0.5698040510475515,0.6050568830535648,0.2717932818612729,0.0340576171875,0.6299892465545426,0.3047772873109962,0.0,0.39314976600276486,0.38334090848965524,0.39314976600276486,0.9999999994727368,1.0,0.7548536602926201,0.773074197249917,262144.0,0.03573155030608177,-0.03573150932788849,0.37531596883787893,0.0,1.0,262144.0,0.27155350041222337,0.21277160030360007,0.19269913488071783,0.00634765625,0.2716792785490719,0.2094277980433362,0.0,0.17635765923232602,0.13397134400434935,0.17635765923232602,0.9999999919387275,1.0,0.5211079546622018,0.47361191268598507,262144.0,canonical,P1,BCC3_VEL3_NO_SOFTCLIP,80,train
True,vel3,1.0563755631446838,-0.003532591857947409,1.0,0.0,1.0,262144.0,1.0000000000104226,0.9999999997580127,0.9999999999225557,0.329345703125,1.00000000002503,0.9999999999694253,0.0,1.0000000000017586,2.4603999637178347e-08,0.9999999997881588,0.9999999999752307,1.0,1.0000000000052114,1.000000000094509,262144.0,0.6206037402153015,-0.0268842950463295,0.9999999310897711,0.0,1.0,262144.0,0.9999999979986419,0.9999999922135393,0.9999999947905087,0.223388671875,0.9999999985040149,0.9999999945297547,0.0,0.9999999981577653,1.9293779643869666e-08,0.9999999974018794,0.9999999974018794,1.0,0.999999998999321,0.9999999971299607,262144.0,no_softclip,P1,BCC3_VEL3_NO_SOFTCLIP,80,train
True,Bcc1,0.244404174387455,-0.24440371990203857,1.0000000035772647,0.0,1.0,262144.0,0.9999999998872993,1.0000000001198153,0.9999999982493514,0.0,0.9999999998052405,1.0000000028853493,0.0,0.9999999839420184,1.3205398625265328e-07,0.9999999839420184,1.0000000000627158,1.0,0.9999999999436495,1.0000000007092533,262144.0,0.09872262924909592,-0.9655160307884216,0.9999997426662844,0.0,1.0,262144.0,0.9999999883641251,0.9999999523169888,0.9999999089863901,0.0,0.9999999892072124,0.9999999548414611,0.0,0.9999990787371209,1.2581756402221913e-07,0.9999990787371209,0.9999999936983683,0.984405517578125,0.9999999941820625,0.9999999832079969,262144.0,canonical,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,Bcc2,0.03526362031698227,-0.010913755279034376,1.0000000599618875,0.0,1.0,262144.0,0.9999999950239009,0.9999999860971265,0.9999999854414565,0.0,0.9999999965565429,0.9999999906422765,0.00146484375,0.9999999955291228,6.671188030421018e-07,0.999999995407509,0.9999999999115603,1.0,0.9999999975119505,0.9999999975188882,262144.0,0.0009202849469147623,-0.11268308758735657,0.9999981837423751,0.0,1.0,262144.0,0.9999999375021167,0.9999996954968501,0.9999995836583476,0.0,0.9999999553687499,0.999999890197327,0.0,0.9999999425115684,1.1215334444009328e-07,0.9999999425115684,0.9999999953362235,0.9676628112792969,0.9999999687510579,0.9999999259637677,262144.0,minimal_inverse_clamp,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,Bcc3,0.005398777779191732,-0.005398777779191732,0.025227456921579364,0.1192626953125,1.0,262144.0,0.0024557762542287576,0.0015525300787924989,0.0005437181767894183,0.2279052734375,0.0031084812828206807,0.000645334590289038,0.0009765625,0.0012704322229057478,0.9708210127236045,0.0012704322229057478,0.9999999972661087,1.0,0.04955578430570638,0.031443183484755444,262144.0,0.005398777779191732,-0.005398777779191732,0.005977002689692953,0.05078125,1.0,262144.0,0.00021444274513384204,0.0006620417238383061,9.929823707121154e-05,0.1513671875,0.00024722974060884266,0.00010343811950608189,0.0,0.0006328242986564896,0.9090546318877363,0.0006328242986564896,0.26114944581645944,0.9749565124511719,0.014643863736522614,0.022322772707914114,262144.0,canonical,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,rho,1.2468035221099854,3.984323939221213e-06,1.0000000000008948,0.0,1.0,262144.0,0.9999999942833773,1.0000000033853544,1.0000000820719983,0.0,0.9999999931870567,0.9999999899957502,0.0,0.9999999934669528,2.1246757354659476e-07,0.9999999908261988,0.9999999993978536,1.0,0.9999999971416886,1.0000000044705195,262144.0,1.0077409744262695,3.761902917176485e-06,0.9999996146948045,0.0,1.0,262144.0,0.9999998861235301,0.9999996490887804,0.9999987924795827,0.0,0.9999998906211386,0.9999989529174894,0.0,0.9999999070705893,1.892024254665619e-07,0.9999999070705893,0.9999999794322945,1.0,0.9999999430617634,0.9999998655813074,262144.0,canonical,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,press,0.027213714085519314,1.5658225294146177e-07,1.0000000000006013,0.0,1.0,262144.0,0.999999998838407,0.9999999976576148,0.999999997312649,0.0,0.9999999992082959,0.9999999981710687,0.0,0.9999999996623078,1.144341836348661e-07,0.9999999977207892,0.9999999996305726,1.0,0.9999999994192035,0.9999999990248005,262144.0,0.018160324543714523,1.9604055268018783e-08,0.9999998661627754,0.0,1.0,262144.0,0.9999999798664855,0.9999999211359453,0.9999999410281117,0.0,0.9999999882213476,0.9999999654662,0.0,0.9999999906112556,1.0223617357917544e-07,0.999999988898034,0.999999988898034,1.0,0.9999999899332427,0.9999999802764571,262144.0,canonical,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,vel1,1.1720983982086182,-0.01722093205899,1.000000000210295,0.0,1.0,262144.0,0.9999999998694697,0.9999999996248848,1.0000000000712101,0.0,0.9999999999761868,0.9999999997171138,0.0,0.9999999999877158,1.4803120169737037e-08,0.9999999997882819,1.0,1.0,0.9999999999347348,0.999999999649842,262144.0,1.0488653182983398,-0.12294915318489075,0.9999999798890854,0.0,1.0,262144.0,0.9999999746197796,0.9999998260960485,0.9999998575587404,0.0,0.9999999915553537,0.9999999161117433,0.0,0.9999999972917386,1.023589312700812e-08,0.9999999972917386,0.9999999985290682,1.0,0.9999999873098897,0.9999999856123598,262144.0,canonical,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,vel2,0.03573155030608177,-0.03573150932788849,0.6960343755642209,0.0,1.0,262144.0,0.5698040510475515,0.6050568830535648,0.2717932818612729,0.0340576171875,0.6299892465545426,0.3047772873109962,0.0,0.39314976600276486,0.38334090848965524,0.39314976600276486,0.9999999994727368,1.0,0.7548536602926201,0.773074197249917,262144.0,0.03573155030608177,-0.03573150932788849,0.37531596883787893,0.0,1.0,262144.0,0.27155350041222337,0.21277160030360007,0.19269913488071783,0.00634765625,0.2716792785490719,0.2094277980433362,0.0,0.17635765923232602,0.13397134400434935,0.17635765923232602,0.9999999919387275,1.0,0.5211079546622018,0.47361191268598507,262144.0,canonical,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,vel3,0.10361374914646149,-0.0035325915087014437,0.11806043731912308,0.100341796875,1.0,262144.0,0.049437622957062624,0.03224303771264217,0.011276368853646085,0.21923828125,0.055949036049359746,0.013018409791700493,0.0,0.0458375088821096,0.8111441788197695,0.0458375088821096,0.9999999981200923,1.0,0.2223457281163096,0.16849605009919827,262144.0,0.10361374914646149,-0.0268842913210392,0.09356072388192477,0.03564453125,1.0,262144.0,0.025560454297546026,0.01693531945789948,0.008064440035965596,0.13720703125,0.027715523962105207,0.010802682393044633,0.0,0.015772900131590075,0.6799314043967986,0.015772900131590075,0.657075602865093,1.0,0.15987637191763526,0.1412694636957466,262144.0,canonical,P2A,BCC2_MINIMAL_INVERSE_CLAMP,80,train
True,Bcc1,0.244404174387455,-0.24440371990203857,1.0000000035772647,0.0,1.0,262144.0,0.9999999998872993,1.0000000001198153,0.9999999982493514,0.0,0.9999999998052405,1.0000000028853493,0.0,0.9999999839420184,1.3205398625265328e-07,0.9999999839420184,1.0000000000627158,1.0,0.9999999999436495,1.0000000007092533,262144.0,0.09872262924909592,-0.9655160307884216,0.9999997426662844,0.0,1.0,262144.0,0.9999999883641251,0.9999999523169888,0.9999999089863901,0.0,0.9999999892072124,0.9999999548414611,0.0,0.9999990787371209,1.2581756402221913e-07,0.9999990787371209,0.9999999936983683,0.984405517578125,0.9999999941820625,0.9999999832079969,262144.0,canonical,P2B,BCC2_NO_SOFTCLIP,80,train
True,Bcc2,0.03526359610259533,-0.010913753882050514,0.9999999963118409,0.0,1.0,262144.0,0.9999999999867472,0.999999999603385,0.9999999999169192,0.06494140625,1.0000000001604186,0.999999999993418,0.00146484375,1.0000000000448805,7.75974506513431e-08,0.9999999992856536,1.0000000000575215,1.0,0.9999999999933735,1.0000000004477405,262144.0,0.0009202850051224232,-0.11268341541290283,0.9999998994594779,0.0,1.0,262144.0,0.99999999267175,0.9999999875744114,0.9999999841573358,0.009765625,0.9999999936282301,0.9999999898649283,0.0,0.9999999916555206,5.6708758660584416e-08,0.9999999916555206,0.9999999962820428,0.9622688293457031,0.9999999963358749,0.9999999958059482,262144.0,no_softclip,P2B,BCC2_NO_SOFTCLIP,80,train
True,Bcc3,0.005398777779191732,-0.005398777779191732,0.025227456921579364,0.1192626953125,1.0,262144.0,0.0024557762542287576,0.0015525300787924989,0.0005437181767894183,0.2279052734375,0.0031084812828206807,0.000645334590289038,0.0009765625,0.0012704322229057478,0.9708210127236045,0.0012704322229057478,0.9999999972661087,1.0,0.04955578430570638,0.031443183484755444,262144.0,0.005398777779191732,-0.005398777779191732,0.005977002689692953,0.05078125,1.0,262144.0,0.00021444274513384204,0.0006620417238383061,9.929823707121154e-05,0.1513671875,0.00024722974060884266,0.00010343811950608189,0.0,0.0006328242986564896,0.9090546318877363,0.0006328242986564896,0.26114944581645944,0.9749565124511719,0.014643863736522614,0.022322772707914114,262144.0,canonical,P2B,BCC2_NO_SOFTCLIP,80,train
True,rho,1.2468035221099854,3.984323939221213e-06,1.0000000000008948,0.0,1.0,262144.0,0.9999999942833773,1.0000000033853544,1.0000000820719983,0.0,0.9999999931870567,0.9999999899957502,0.0,0.9999999934669528,2.1246757354659476e-07,0.9999999908261988,0.9999999993978536,1.0,0.9999999971416886,1.0000000044705195,262144.0,1.0077409744262695,3.761902917176485e-06,0.9999996146948045,0.0,1.0,262144.0,0.9999998861235301,0.9999996490887804,0.9999987924795827,0.0,0.9999998906211386,0.9999989529174894,0.0,0.9999999070705893,1.892024254665619e-07,0.9999999070705893,0.9999999794322945,1.0,0.9999999430617634,0.9999998655813074,262144.0,canonical,P2B,BCC2_NO_SOFTCLIP,80,train
True,press,0.027213714085519314,1.5658225294146177e-07,1.0000000000006013,0.0,1.0,262144.0,0.999999998838407,0.9999999976576148,0.999999997312649,0.0,0.9999999992082959,0.9999999981710687,0.0,0.9999999996623078,1.144341836348661e-07,0.9999999977207892,0.9999999996305726,1.0,0.9999999994192035,0.9999999990248005,262144.0,0.018160324543714523,1.9604055268018783e-08,0.9999998661627754,0.0,1.0,262144.0,0.9999999798664855,0.9999999211359453,0.9999999410281117,0.0,0.9999999882213476,0.9999999654662,0.0,0.9999999906112556,1.0223617357917544e-07,0.999999988898034,0.999999988898034,1.0,0.9999999899332427,0.9999999802764571,262144.0,canonical,P2B,BCC2_NO_SOFTCLIP,80,train
True,vel1,1.1720983982086182,-0.01722093205899,1.000000000210295,0.0,1.0,262144.0,0.9999999998694697,0.9999999996248848,1.0000000000712101,0.0,0.9999999999761868,0.9999999997171138,0.0,0.9999999999877158,1.4803120169737037e-08,0.9999999997882819,1.0,1.0,0.9999999999347348,0.999999999649842,262144.0,1.0488653182983398,-0.12294915318489075,0.9999999798890854,0.0,1.0,262144.0,0.9999999746197796,0.9999998260960485,0.9999998575587404,0.0,0.9999999915553537,0.9999999161117433,0.0,0.9999999972917386,1.023589312700812e-08,0.9999999972917386,0.9999999985290682,1.0,0.9999999873098897,0.9999999856123598,262144.0,canonical,P2B,BCC2_NO_SOFTCLIP,80,train
True,vel2,0.03573155030608177,-0.03573150932788849,0.6960343755642209,0.0,1.0,262144.0,0.5698040510475515,0.6050568830535648,0.2717932818612729,0.0340576171875,0.6299892465545426,0.3047772873109962,0.0,0.39314976600276486,0.38334090848965524,0.39314976600276486,0.9999999994727368,1.0,0.7548536602926201,0.773074197249917,262144.0,0.03573155030608177,-0.03573150932788849,0.37531596883787893,0.0,1.0,262144.0,0.27155350041222337,0.21277160030360007,0.19269913488071783,0.00634765625,0.2716792785490719,0.2094277980433362,0.0,0.17635765923232602,0.13397134400434935,0.17635765923232602,0.9999999919387275,1.0,0.5211079546622018,0.47361191268598507,262144.0,canonical,P2B,BCC2_NO_SOFTCLIP,80,train
True,vel3,0.10361374914646149,-0.0035325915087014437,0.11806043731912308,0.100341796875,1.0,262144.0,0.049437622957062624,0.03224303771264217,0.011276368853646085,0.21923828125,0.055949036049359746,0.013018409791700493,0.0,0.0458375088821096,0.8111441788197695,0.0458375088821096,0.9999999981200923,1.0,0.2223457281163096,0.16849605009919827,262144.0,0.10361374914646149,-0.0268842913210392,0.09356072388192477,0.03564453125,1.0,262144.0,0.025560454297546026,0.01693531945789948,0.008064440035965596,0.13720703125,0.027715523962105207,0.010802682393044633,0.0,0.015772900131590075,0.6799314043967986,0.015772900131590075,0.657075602865093,1.0,0.15987637191763526,0.1412694636957466,262144.0,canonical,P2B,BCC2_NO_SOFTCLIP,80,train
True,Bcc1,0.244404174387455,-0.24440371990203857,1.0000000035772647,0.0,1.0,262144.0,0.9999999998872993,1.0000000001198153,0.9999999982493514,0.0,0.9999999998052405,1.0000000028853493,0.0,0.9999999839420184,1.3205398625265328e-07,0.9999999839420184,1.0000000000627158,1.0,0.9999999999436495,1.0000000007092533,262144.0,0.09872262924909592,-0.9655160307884216,0.9999997426662844,0.0,1.0,262144.0,0.9999999883641251,0.9999999523169888,0.9999999089863901,0.0,0.9999999892072124,0.9999999548414611,0.0,0.9999990787371209,1.2581756402221913e-07,0.9999990787371209,0.9999999936983683,0.984405517578125,0.9999999941820625,0.9999999832079969,262144.0,canonical,P3,COMBINED_PROTOTYPE_V1,80,train
True,Bcc2,0.03526359610259533,-0.010913753882050514,0.9999999963118409,0.0,1.0,262144.0,0.9999999999867472,0.999999999603385,0.9999999999169192,0.06494140625,1.0000000001604186,0.999999999993418,0.00146484375,1.0000000000448805,7.75974506513431e-08,0.9999999992856536,1.0000000000575215,1.0,0.9999999999933735,1.0000000004477405,262144.0,0.0009202850051224232,-0.11268341541290283,0.9999998994594779,0.0,1.0,262144.0,0.99999999267175,0.9999999875744114,0.9999999841573358,0.009765625,0.9999999936282301,0.9999999898649283,0.0,0.9999999916555206,5.6708758660584416e-08,0.9999999916555206,0.9999999962820428,0.9622688293457031,0.9999999963358749,0.9999999958059482,262144.0,no_softclip,P3,COMBINED_PROTOTYPE_V1,80,train
True,Bcc3,0.4764125794172287,-0.47641319036483765,1.0000000052244404,0.0,1.0,262144.0,0.999999999073721,0.9999999985676642,1.000000000409797,0.30224609375,0.9999999990071078,0.9999999981967778,0.005126953125,0.9999999534184107,9.229407502659642e-08,0.9999999534184107,1.0000000000743947,1.0,0.9999999995368605,0.9999999994547493,262144.0,0.12635438144207,-2.0717363357543945,0.999999818496228,0.0,1.0,262144.0,0.99999999020814,0.9999999728297809,0.9999999721128249,0.2060546875,0.9999999890816104,0.9999999821204056,0.00244140625,0.9999991835540463,6.696720452060796e-08,0.9999991835540463,0.9999999966216087,0.9749565124511719,0.9999999951040699,0.9999999916876952,262144.0,no_softclip,P3,COMBINED_PROTOTYPE_V1,80,train
