accumulation_count,base_h1_gradient_cosine,base_only_gradient_norm,clip_scale,clipping_triggered,effective_base_gradient_norm,effective_base_gradient_projection,effective_h1_gradient_norm,effective_h1_gradient_projection,epoch,global_optimizer_step,h1_only_gradient_norm,h1_to_base_gradient_ratio,learning_rate,nonfinite,optimizer_step_in_epoch,other_prior_gradient_norm,parameter_update_norm,selected_h1_gradient_norm,total_gradient_norm_after_clip,total_gradient_norm_before_clip
4,,,0.16166518644919944,True,,,,,0,1,,,0.0005,False,0,,0.4128947854042053,,0.9999998807907104,6.185623645782471
4,,,0.16485141494676558,True,,,,,0,2,,,0.0005,False,1,,0.4063589870929718,,0.9999998211860657,6.066068649291992
4,,,0.15033770124579846,True,,,,,0,3,,,0.0005,False,2,,0.40550702810287476,,1.0,6.651691436767578
4,,,0.15536721866310307,True,,,,,0,4,,,0.0005,False,3,,0.404094934463501,,0.9999997615814209,6.43636417388916
4,,,0.14577854000687898,True,,,,,0,5,,,0.0005,False,4,,0.40357425808906555,,0.9999998807907104,6.859720230102539
4,,,0.1704625222593125,True,,,,,0,6,,,0.0005,False,5,,0.40217167139053345,,0.9999997615814209,5.866392135620117
4,,,0.16086397869170838,True,,,,,0,7,,,0.0005,False,6,,0.40099209547042847,,0.9999998807907104,6.216432094573975
4,,,0.17906240260932305,True,,,,,0,8,,,0.0005,False,7,,0.4002942144870758,,0.9999998211860657,5.5846452713012695
4,,,0.1901268317873011,True,,,,,0,9,,,0.0005,False,8,,0.3994643986225128,,0.9999997019767761,5.259646892547607
4,,,0.1588279603590509,True,,,,,0,10,,,0.0005,False,9,,0.3982984721660614,,0.9999998211860657,6.296120643615723
4,,,0.15971839202577853,True,,,,,0,11,,,0.0005,False,10,,0.3974652588367462,,0.9999998807907104,6.261019706726074
4,,,0.14728613191231596,True,,,,,0,12,,,0.0005,False,11,,0.3964877128601074,,0.9999997615814209,6.789505481719971
4,,,0.14553286392844605,True,,,,,0,13,,,0.0005,False,12,,0.39583277702331543,,0.9999998211860657,6.871300220489502
4,,,0.13350992460068975,True,,,,,0,14,,,0.0005,False,13,,0.39513471722602844,,0.9999998807907104,7.490079879760742
4,,,0.1560984672494615,True,,,,,0,15,,,0.0005,False,14,,0.3932330906391144,,0.9999997019767761,6.40621280670166
4,,,0.13833104249456446,True,,,,,0,16,,,0.0005,False,15,,0.3926903009414673,,0.9999998211860657,7.229035377502441
4,,,0.12482530485641785,True,,,,,0,17,,,0.0005,False,16,,0.39210182428359985,,0.9999999403953552,8.01119613647461
4,,,0.1291563688812987,True,,,,,0,18,,,0.0005,False,17,,0.3912483751773834,,0.9999998211860657,7.742552757263184
4,,,0.11604725974009733,True,,,,,0,19,,,0.0005,False,18,,0.3906320333480835,,0.9999998807907104,8.617178916931152
3,,,0.10586750186049784,True,,,,,0,20,,,0.0005,False,19,,0.3900839686393738,,0.9999998807907104,9.445769309997559
4,,,0.10313439951262324,True,,,,,1,21,,,0.001,False,0,,0.7788742184638977,,0.9999998807907104,9.696085929870605
4,,,0.09795862848802263,True,,,,,1,22,,,0.001,False,1,,0.7758849263191223,,0.9999998807907104,10.208391189575195
4,,,0.08589865807103374,True,,,,,1,23,,,0.001,False,2,,0.7702810168266296,,0.9999998807907104,11.64162540435791
4,,,0.06551164604558256,True,,,,,1,24,,,0.001,False,3,,0.764708399772644,,0.9999999403953552,15.264461517333984
4,,,0.07275353236683495,True,,,,,1,25,,,0.001,False,4,,0.7587198615074158,,0.9999999403953552,13.745037078857422
4,,,0.05970069034844457,True,,,,,1,26,,,0.001,False,5,,0.755077600479126,,1.0,16.750225067138672
4,,,0.06291515140242318,True,,,,,1,27,,,0.001,False,6,,0.7516501545906067,,0.9999998211860657,15.89442253112793
4,,,0.0582401992764631,True,,,,,1,28,,,0.001,False,7,,0.7482491135597229,,0.9999999403953552,17.170270919799805
4,,,0.05312551994385569,True,,,,,1,29,,,0.001,False,8,,0.7444297671318054,,0.9999999403953552,18.823345184326172
4,,,0.04962155481717261,True,,,,,1,30,,,0.001,False,9,,0.7407941222190857,,0.9999999403953552,20.15253257751465
4,,,0.04703211838837344,True,,,,,1,31,,,0.001,False,10,,0.7372463345527649,,0.9999998807907104,21.262065887451172
4,,,0.053612598338881504,True,,,,,1,32,,,0.001,False,11,,0.7322304248809814,,0.9999999403953552,18.652332305908203
4,,,0.0489509294680603,True,,,,,1,33,,,0.001,False,12,,0.7280924916267395,,0.9999999403953552,20.428621292114258
4,,,0.04017862000945671,True,,,,,1,34,,,0.001,False,13,,0.7236345410346985,,0.9999999403953552,24.888858795166016
4,,,0.039780384187303355,True,,,,,1,35,,,0.001,False,14,,0.7201488614082336,,0.9999998211860657,25.138017654418945
4,,,0.04370872201125081,True,,,,,1,36,,,0.001,False,15,,0.7172590494155884,,0.9999998807907104,22.87872886657715
4,,,0.038851092868538245,True,,,,,1,37,,,0.001,False,16,,0.7115055918693542,,0.9999998211860657,25.739301681518555
4,,,0.03684020583205822,True,,,,,1,38,,,0.001,False,17,,0.7048652172088623,,1.0,27.144256591796875
4,,,0.0469527143194638,True,,,,,1,39,,,0.001,False,18,,0.7001598477363586,,0.9999999403953552,21.298023223876953
3,,,0.03702194922940964,True,,,,,1,40,,,0.001,False,19,,0.6939927339553833,,0.9999998807907104,27.011003494262695
4,,,0.04024079636693201,True,,,,,2,41,,,0.0009968592488416748,False,0,,0.6881101727485657,,0.9999999403953552,24.85040283203125
4,,,0.03430623137913552,True,,,,,2,42,,,0.0009968592488416748,False,1,,0.6828776597976685,,0.9999999403953552,29.14922332763672
4,,,0.04229493043764679,True,,,,,2,43,,,0.0009968592488416748,False,2,,0.6801620721817017,,0.9999998807907104,23.643495559692383
4,,,0.0343340691675425,True,,,,,2,44,,,0.0009968592488416748,False,3,,0.6741032004356384,,1.0,29.12558937072754
4,,,0.04403375937229586,True,,,,,2,45,,,0.0009968592488416748,False,4,,0.6709225177764893,,0.9999998211860657,22.709848403930664
4,,,0.04169012104406921,True,,,,,2,46,,,0.0009968592488416748,False,5,,0.6679244041442871,,0.9999998807907104,23.98649787902832
4,,,0.044733608379224084,True,,,,,2,47,,,0.0009968592488416748,False,6,,0.6651934385299683,,0.9999998807907104,22.354557037353516
4,,,0.04515326365751701,True,,,,,2,48,,,0.0009968592488416748,False,7,,0.6619503498077393,,0.9999999403953552,22.146793365478516
4,,,0.05210124986236528,True,,,,,2,49,,,0.0009968592488416748,False,8,,0.6591304540634155,,0.9999998807907104,19.193397521972656
4,,,0.04689220877465162,True,,,,,2,50,,,0.0009968592488416748,False,9,,0.6534722447395325,,0.9999998807907104,21.325504302978516
4,,,0.04700470183292947,True,,,,,2,51,,,0.0009968592488416748,False,10,,0.6491355895996094,,0.9999998211860657,21.27446746826172
4,,,0.06360849561069497,True,,,,,2,52,,,0.0009968592488416748,False,11,,0.6470635533332825,,0.9999999403953552,15.721170425415039
4,,,0.053784668464248946,True,,,,,2,53,,,0.0009968592488416748,False,12,,0.6443755626678467,,0.9999999403953552,18.59265899658203
4,,,0.039249165664765676,True,,,,,2,54,,,0.0009968592488416748,False,13,,0.6396705508232117,,0.9999998211860657,25.478248596191406
4,,,0.05048569641908305,True,,,,,2,55,,,0.0009968592488416748,False,14,,0.6314353942871094,,0.9999999403953552,19.80759048461914
4,,,0.06383848287167483,True,,,,,2,56,,,0.0009968592488416748,False,15,,0.6272976398468018,,0.9999999403953552,15.664532661437988
4,,,0.061259919765545456,True,,,,,2,57,,,0.0009968592488416748,False,16,,0.622282862663269,,0.9999999403953552,16.32388687133789
4,,,0.06635091782580416,True,,,,,2,58,,,0.0009968592488416748,False,17,,0.619583010673523,,0.9999998211860657,15.071381568908691
4,,,0.07574945529000258,True,,,,,2,59,,,0.0009968592488416748,False,18,,0.6148536801338196,,1.0,13.201415061950684
3,,,0.08021320708630982,True,,,,,2,60,,,0.0009968592488416748,False,19,,0.6114886403083801,,1.0,12.466774940490723
4,,,0.07306080134190807,True,,,,,3,61,,,0.000987476492134821,False,0,,0.6029477119445801,,0.9999998807907104,13.687230110168457
4,,,0.06877044600156879,True,,,,,3,62,,,0.000987476492134821,False,1,,0.598644495010376,,0.9999999403953552,14.541130065917969
4,,,0.07914240456672542,True,,,,,3,63,,,0.000987476492134821,False,2,,0.5959365367889404,,0.9999999403953552,12.635451316833496
4,,,0.07826453271138252,True,,,,,3,64,,,0.000987476492134821,False,3,,0.5915694236755371,,0.9999998211860657,12.777179718017578
4,,,0.09831054994038978,True,,,,,3,65,,,0.000987476492134821,False,4,,0.5869604349136353,,0.9999998211860657,10.17184829711914
4,,,0.09712526352059814,True,,,,,3,66,,,0.000987476492134821,False,5,,0.5845566987991333,,0.9999998807907104,10.295982360839844
